Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (enrolled),Tuition fees up to date,Curricular units 2nd sem (evaluations),Age at enrollment,Unemployment rate,Target
6,13,6,0,6,19,13,1
0,0,6,0,0,19,10,0
5,12,6,1,10,20,9,1
6,13,6,1,6,45,13,1
8,14,8,1,8,18,15,1
0,0,5,0,5,22,15,0
6,14,6,1,7,21,16,1
2,13,6,0,14,18,8,0
5,14,6,1,7,18,13,1
7,13,8,1,8,18,12,1
0,0,6,1,0,19,12,0
5,11,6,1,8,21,8,1
5,12,5,1,5,18,10,1
0,0,6,1,7,20,15,0
2,11,6,1,14,18,10,2
8,14,8,1,8,18,15,1
4,12,5,1,8,20,10,1
6,13,7,1,8,18,16,2
8,11,8,1,9,20,12,2
7,12,8,1,12,18,12,1
6,12,6,1,7,19,11,1
7,14,8,1,9,19,11,1
4,11,6,1,12,18,7,2
6,13,6,1,9,21,16,1
4,13,5,1,7,18,9,2
5,12,5,1,6,20,16,1
6,13,7,1,7,19,16,2
4,13,6,1,9,20,8,1
2,13,5,0,8,18,8,2
6,14,6,1,8,19,12,1
5,13,5,1,9,34,13,1
1,10,7,0,7,37,8,0
0,0,5,1,0,43,7,0
2,12,5,1,8,55,16,0
5,11,5,1,5,39,7,1
0,0,5,1,5,18,12,0
5,15,5,1,5,22,8,1
7,14,8,1,9,22,11,1
5,13,6,0,7,20,12,0
0,0,5,1,0,29,16,0
3,14,5,1,11,24,7,2
5,13,6,1,8,18,11,1
7,13,8,1,9,22,11,1
6,12,6,1,7,19,12,1
6,14,6,1,6,24,12,1
6,11,8,1,10,19,9,2
3,11,6,1,12,20,9,2
5,15,5,1,5,19,7,1
5,11,5,1,10,27,9,0
8,13,8,1,10,18,15,1
0,0,6,1,6,39,12,0
8,14,8,1,8,18,9,1
7,12,8,1,12,18,16,1
1,10,6,1,8,19,10,2
0,0,6,1,6,24,12,2
6,12,6,1,7,23,8,1
4,10,5,1,10,19,16,0
5,10,6,1,8,26,12,2
0,0,5,1,5,18,7,2
8,13,8,1,8,24,13,1
1,12,6,1,12,18,12,0
3,12,6,1,11,18,10,1
3,10,5,1,11,18,10,0
1,11,6,1,11,21,9,0
6,13,6,1,6,19,8,1
8,15,8,1,9,22,16,1
6,11,6,1,6,33,10,1
5,12,6,1,7,20,10,0
0,0,5,1,0,35,10,0
3,11,5,1,8,18,12,2
5,11,6,1,11,33,9,1
7,13,8,1,8,22,10,1
5,11,5,1,7,25,9,1
5,11,6,1,6,20,7,1
5,13,5,1,5,23,11,2
0,0,5,1,9,18,15,2
0,0,7,1,7,24,13,0
6,13,6,0,6,21,8,1
0,0,6,1,6,26,8,0
0,0,6,1,14,39,7,0
6,12,6,1,7,44,12,1
3,13,5,1,11,19,13,2
6,13,6,1,6,18,8,1
8,14,8,1,9,18,12,1
5,13,5,1,7,19,12,2
0,0,7,0,7,19,13,0
0,0,6,1,0,36,9,0
0,0,6,1,0,19,11,0
0,0,6,1,0,19,16,0
5,12,7,1,10,20,12,0
3,13,7,1,10,20,16,2
6,15,6,1,6,18,13,1
3,11,5,1,11,18,8,2
5,12,5,1,5,19,10,1
6,12,6,1,7,18,10,1
6,12,7,1,7,18,7,0
7,13,7,1,7,20,13,2
4,10,6,1,12,20,7,2
3,10,5,1,10,20,12,2
5,11,5,1,6,18,9,1
5,14,5,1,5,18,11,1
2,11,6,1,12,21,9,0
4,11,5,1,9,19,16,1
5,14,5,1,5,19,9,1
6,12,6,1,13,19,15,1
0,0,7,1,0,19,13,0
5,13,6,1,7,18,9,2
6,13,6,1,6,18,12,1
8,15,8,1,9,19,12,1
7,13,8,1,9,18,13,0
6,13,6,1,6,18,7,1
5,14,5,1,5,19,8,1
0,0,7,1,7,19,13,0
4,12,6,0,9,19,12,0
4,11,5,1,5,20,7,1
6,14,6,1,6,18,8,1
7,12,8,1,9,20,11,2
8,17,8,1,8,18,13,1
6,12,7,1,7,19,7,1
5,12,6,1,10,19,12,1
0,0,5,0,7,22,8,2
6,11,6,1,6,19,12,1
8,12,8,1,11,19,15,1
5,10,6,1,9,19,9,1
0,0,5,1,10,19,7,0
3,11,6,1,12,20,7,0
5,14,5,1,9,18,13,1
7,14,8,1,9,20,11,1
5,13,5,1,6,19,7,1
5,10,6,1,10,18,9,2
5,11,6,1,8,18,7,1
3,10,6,1,12,21,9,0
4,11,6,1,10,19,7,0
5,11,5,1,5,18,12,1
6,11,6,1,7,18,12,1
6,11,6,1,9,20,9,1
5,12,6,1,9,24,11,1
6,13,6,1,9,19,10,0
7,12,8,1,12,18,15,1
8,15,8,1,8,18,15,1
3,11,6,1,10,21,10,0
5,14,5,1,5,19,7,1
6,13,6,1,7,19,15,1
0,0,6,1,0,47,8,2
4,11,6,1,12,19,13,1
2,11,6,1,12,21,16,0
4,10,5,1,11,28,12,2
8,13,8,1,8,20,15,1
6,11,7,1,7,19,7,1
5,12,6,1,8,26,9,1
6,13,6,0,6,20,11,0
4,13,5,1,6,18,7,2
5,12,6,1,10,27,7,1
4,11,7,1,8,20,7,0
5,10,6,1,12,18,9,0
0,0,6,0,6,27,11,0
0,0,6,0,6,19,15,0
0,0,6,1,0,20,11,0
3,10,5,0,9,20,10,0
4,10,6,0,12,21,9,2
6,13,7,1,7,18,7,1
0,0,6,1,6,24,8,0
6,12,6,1,6,20,16,1
6,12,6,1,6,21,13,1
1,10,5,1,12,23,9,2
0,0,5,1,5,24,7,0
0,0,6,1,0,21,12,0
7,12,8,1,8,18,12,1
0,0,5,1,0,27,8,0
8,12,8,1,8,18,9,1
0,0,5,1,0,35,13,0
7,14,7,1,8,18,11,1
3,11,3,1,3,35,11,2
4,14,5,1,13,19,10,1
6,11,6,1,6,20,7,1
7,12,8,1,8,18,10,1
4,11,6,1,11,18,16,1
4,10,6,1,9,18,7,1
7,12,8,1,8,18,12,1
6,14,6,1,6,18,16,1
5,13,6,1,9,19,13,1
5,12,6,1,6,36,16,0
7,12,8,1,8,18,12,1
6,12,7,1,7,18,7,1
6,15,6,1,8,20,13,1
0,0,5,1,8,26,16,0
6,12,6,1,7,21,7,1
8,13,8,1,9,25,15,2
5,11,5,1,5,19,12,1
0,0,6,1,6,24,9,0
0,0,6,1,13,27,8,0
2,13,5,1,9,21,7,0
3,12,5,1,8,18,9,1
6,14,6,1,6,19,10,1
2,12,6,1,13,18,9,0
7,12,8,1,9,19,11,1
7,14,8,1,9,19,16,1
5,15,5,1,5,33,11,1
5,13,5,1,5,45,12,1
6,12,6,1,7,20,11,1
0,0,5,1,5,28,7,0
7,11,8,1,15,19,12,1
3,12,6,1,6,18,12,1
0,0,6,1,0,38,15,0
5,13,5,1,5,19,9,1
5,12,6,1,8,21,15,1
1,15,5,1,12,21,16,0
6,13,6,1,6,22,10,1
6,13,6,1,7,18,9,1
6,11,6,1,9,18,15,1
4,14,5,0,10,25,9,0
7,11,7,1,8,19,12,2
5,13,5,1,5,20,12,1
0,0,5,0,9,25,10,0
8,13,8,1,8,23,9,1
7,13,8,1,8,19,10,1
3,11,6,0,8,29,13,0
4,12,6,1,8,21,11,1
5,14,6,1,13,18,11,1
5,12,6,1,6,19,9,2
6,12,6,1,6,18,8,0
5,13,5,1,6,19,7,1
0,0,6,1,12,18,9,2
5,10,5,1,6,18,8,1
0,0,7,0,12,37,8,0
5,12,5,1,14,29,16,1
6,12,6,1,6,18,7,2
5,12,6,1,9,19,12,1
5,10,6,1,10,20,15,1
0,0,6,1,0,34,12,0
6,14,6,1,7,18,10,1
6,12,6,1,6,18,12,1
3,11,6,1,10,18,9,1
7,14,8,1,8,18,12,1
5,12,6,1,8,19,12,1
6,12,6,1,8,19,10,1
7,13,8,1,8,18,12,1
5,12,6,1,8,21,13,1
1,13,5,0,12,20,7,0
5,12,5,1,8,20,13,1
6,15,6,1,7,20,16,1
8,15,8,1,8,18,13,1
3,10,6,1,10,20,12,0
8,13,8,1,8,18,12,2
7,13,8,1,11,20,15,1
4,11,5,1,8,22,16,1
6,14,6,1,7,47,16,1
5,13,5,1,5,31,8,1
6,12,6,1,6,21,16,1
6,11,6,1,10,21,7,1
6,13,6,1,6,24,7,1
6,12,6,1,6,18,15,2
4,11,6,1,12,32,7,1
6,11,6,1,9,19,10,1
8,13,8,1,8,24,9,1
6,14,6,1,9,19,15,1
6,13,6,1,7,19,13,1
5,13,6,1,12,24,12,2
6,11,6,1,8,18,8,1
2,11,6,1,10,19,8,0
7,14,8,1,8,19,10,1
6,13,6,1,6,18,12,1
6,12,6,1,8,18,12,1
8,13,8,1,8,20,12,1
8,12,8,1,10,18,9,1
6,13,6,1,9,18,11,1
5,12,5,1,5,21,10,1
8,16,8,1,9,18,15,1
4,10,5,0,6,18,9,0
0,0,6,1,0,19,9,0
4,11,6,1,9,19,10,2
4,14,6,1,11,18,11,1
0,0,5,1,5,34,12,0
5,13,5,1,6,19,7,1
6,15,6,1,7,26,11,1
3,11,6,1,10,21,7,0
5,11,5,1,5,18,11,1
5,13,6,1,9,20,9,1
0,0,5,1,5,25,11,0
5,16,5,1,5,18,11,1
8,14,8,1,11,18,16,1
8,14,8,1,9,19,11,1
6,11,6,1,10,18,12,1
6,13,8,1,12,20,15,2
0,0,6,0,0,26,8,0
7,13,8,1,8,19,10,1
8,14,8,1,9,19,16,1
3,13,5,1,8,19,7,2
3,11,6,1,11,18,16,1
6,13,7,1,7,19,7,1
5,11,6,1,9,18,13,1
5,11,6,1,8,18,9,2
5,11,5,1,7,18,9,2
6,12,7,1,9,18,11,2
0,0,5,1,5,26,16,0
6,13,6,1,7,20,12,1
6,11,6,1,6,19,12,1
6,13,6,1,9,18,9,1
7,14,7,1,7,40,12,1
8,13,8,1,8,18,9,1
6,12,6,1,8,19,13,1
4,12,5,1,6,18,7,1
3,12,5,1,8,19,9,2
6,12,6,1,8,33,12,1
6,13,6,1,11,35,16,1
6,12,6,1,8,18,9,1
5,11,5,1,9,39,10,1
6,13,6,1,6,44,12,1
4,11,6,1,9,20,9,2
4,11,6,1,6,24,12,0
6,13,6,1,6,20,12,1
6,14,7,1,7,18,7,1
0,0,6,0,12,22,10,0
6,16,6,1,7,18,11,1
7,13,8,1,9,24,13,1
0,0,5,1,0,33,12,0
0,0,6,1,6,30,11,2
0,0,6,1,0,26,8,0
6,11,6,1,10,18,10,1
2,10,6,1,12,19,10,0
4,11,5,1,9,20,16,2
5,13,7,1,8,19,7,2
6,15,6,1,10,21,15,1
6,14,7,1,7,21,7,1
5,11,5,1,6,19,7,2
6,13,7,1,8,19,8,1
7,13,8,1,8,18,12,0
4,10,5,1,10,31,13,2
6,14,6,1,7,19,15,1
5,12,5,1,9,35,13,1
0,0,6,1,0,31,12,0
0,0,5,0,0,34,9,0
8,15,8,1,8,18,12,1
6,13,7,0,8,18,8,2
6,10,8,1,12,26,16,0
8,13,8,1,8,20,13,2
3,10,6,1,12,19,7,2
6,13,6,1,6,19,15,1
6,11,6,1,7,19,7,1
6,12,6,1,9,18,7,1
5,12,6,1,8,22,15,2
5,12,8,1,13,26,16,2
5,11,6,0,8,18,7,0
2,12,5,0,8,20,7,0
6,14,6,1,7,18,11,1
7,12,8,1,11,19,10,1
4,13,6,1,9,18,10,0
0,0,5,1,9,19,16,0
4,11,6,1,8,18,8,2
3,10,6,1,12,20,10,2
3,11,6,1,11,19,7,2
4,12,6,1,7,19,12,2
7,14,8,1,8,19,10,1
5,14,5,1,5,27,8,1
6,14,6,1,7,19,15,1
0,0,5,1,5,25,7,0
7,14,8,1,8,18,10,1
7,12,8,1,8,24,10,1
7,14,8,1,9,20,13,1
6,11,6,1,6,20,8,1
5,15,5,1,6,18,7,1
6,12,6,1,10,19,15,1
3,11,6,1,9,23,12,0
6,11,7,1,7,18,7,1
0,0,8,1,0,18,12,0
8,13,8,1,9,19,11,1
0,0,6,1,0,29,15,0
8,13,8,1,8,19,9,1
8,14,8,1,8,20,12,1
6,13,7,1,7,20,7,1
6,13,6,1,9,19,11,1
2,10,5,1,12,20,10,2
0,0,5,1,12,21,10,0
4,14,6,1,9,19,11,1
7,12,8,1,8,18,10,1
5,12,6,1,10,27,15,1
5,12,5,1,5,19,12,1
0,0,7,1,7,19,7,0
6,14,6,1,7,19,15,1
7,13,8,1,8,18,12,1
6,10,6,1,6,20,12,2
6,13,6,1,8,18,12,1
0,0,6,1,0,19,7,0
6,11,7,1,7,36,7,1
1,16,4,1,4,18,10,2
3,12,5,1,9,18,12,2
7,12,8,1,9,19,12,1
7,12,8,1,8,18,10,1
4,11,5,1,5,18,9,1
6,14,6,1,6,19,12,1
8,16,8,1,8,19,13,1
8,14,8,1,8,18,15,0
5,12,6,1,10,20,11,1
5,12,6,1,9,20,12,2
7,14,8,1,8,20,10,1
7,13,8,1,8,18,10,1
8,13,8,1,8,18,15,1
5,12,5,1,6,19,9,1
4,11,5,1,8,19,9,2
0,0,6,1,6,32,12,0
5,12,6,1,8,22,12,0
6,13,6,1,8,18,16,1
5,14,5,1,5,20,12,1
4,10,6,1,11,19,15,1
5,12,5,1,6,24,12,1
4,10,6,1,11,20,15,2
8,13,8,1,9,18,9,1
5,12,6,1,9,18,12,1
7,13,8,1,8,20,10,1
6,11,6,1,7,20,13,1
5,12,6,1,9,23,11,0
6,13,7,1,7,20,7,1
0,0,5,0,10,28,7,0
5,12,5,1,5,21,7,1
0,0,7,1,0,21,12,0
0,0,8,1,0,28,7,0
7,13,8,1,11,18,16,1
5,11,6,1,7,21,8,2
8,14,8,1,8,19,13,1
7,14,8,1,8,18,12,1
0,0,8,1,0,19,7,0
7,12,8,1,10,20,12,1
5,12,6,1,7,18,10,1
4,10,6,1,10,20,10,0
4,11,6,1,14,31,13,0
8,14,8,1,8,19,15,1
7,13,8,1,8,19,13,1
6,11,6,1,8,23,13,1
6,13,6,1,6,19,12,1
6,12,7,1,7,20,7,1
6,12,7,1,12,18,13,2
1,11,5,0,5,27,12,0
0,0,7,1,0,29,12,0
5,12,6,1,10,18,11,1
6,12,6,1,6,18,16,1
8,12,8,1,8,18,9,1
5,12,5,1,8,20,9,2
5,14,6,1,7,18,11,1
4,10,6,0,11,18,13,2
0,0,4,0,10,28,10,0
7,11,8,1,12,18,12,1
3,12,7,1,14,27,12,2
5,13,7,1,12,26,16,2
6,13,6,1,6,18,12,1
5,14,5,1,6,18,9,0
0,0,5,1,5,21,15,0
0,0,6,1,9,18,9,2
0,0,5,0,10,32,10,0
4,11,5,1,7,28,7,1
0,0,5,0,0,40,12,0
0,0,4,0,4,39,9,0
0,0,6,0,0,39,9,0
5,12,6,1,15,50,8,1
3,11,6,1,9,23,10,0
1,11,6,1,11,48,9,0
5,10,6,1,10,23,7,0
7,12,8,1,8,18,10,1
5,12,5,1,6,18,9,1
6,13,6,0,7,20,13,1
5,13,5,1,8,18,10,1
0,0,8,1,8,18,16,0
1,11,5,1,9,31,16,0
3,10,5,1,6,24,10,2
0,0,5,0,9,26,10,0
4,11,6,1,9,18,16,0
3,11,5,1,10,19,12,2
0,0,6,1,0,22,13,0
7,11,8,1,8,18,10,1
0,0,6,0,12,20,16,0
5,11,5,1,11,24,13,1
0,0,5,1,0,27,8,0
5,12,6,1,7,21,15,1
6,13,6,1,6,21,12,1
6,11,6,1,6,19,10,0
8,15,8,1,11,28,16,1
2,12,5,1,10,20,7,2
6,12,6,1,10,21,15,1
8,15,8,1,9,18,16,1
5,12,5,1,8,18,8,2
3,11,5,1,6,20,15,2
2,14,6,1,11,22,11,2
6,13,8,1,11,18,9,2
5,11,5,1,8,19,13,1
3,12,5,1,10,19,12,0
4,13,6,0,9,25,12,0
0,0,6,1,10,19,11,0
0,0,5,1,5,20,11,0
3,12,5,1,11,20,10,2
3,10,6,1,12,23,8,2
8,12,8,1,8,23,9,1
3,12,5,1,9,20,9,2
2,11,5,1,8,25,12,0
5,13,6,1,9,18,8,1
6,13,6,1,8,22,10,1
6,14,6,1,7,27,8,1
0,0,3,1,5,25,16,0
3,11,5,1,10,18,7,0
5,14,5,1,5,20,12,1
5,11,6,1,13,27,16,1
6,12,6,1,9,20,7,1
1,12,5,1,5,22,7,0
3,10,5,1,11,19,12,0
5,10,5,1,8,20,13,2
0,0,5,0,8,29,9,0
7,13,8,1,8,19,12,1
5,10,5,1,6,28,9,2
6,11,6,1,6,20,7,1
6,13,6,1,8,20,10,1
0,0,6,1,0,31,7,0
7,12,8,1,9,18,13,1
6,13,6,1,8,19,8,2
4,12,5,1,9,18,13,1
5,11,6,1,8,19,10,1
5,15,5,1,5,18,12,1
5,13,5,1,7,19,7,1
6,12,6,1,7,18,15,1
3,12,6,1,14,19,7,1
8,13,8,1,8,19,13,1
6,14,6,1,11,18,10,1
5,11,7,1,11,19,16,2
4,13,6,1,10,20,12,2
5,14,6,1,8,20,11,2
3,10,6,0,14,20,7,0
5,12,7,0,9,31,8,0
6,13,6,1,9,20,10,1
0,0,6,1,0,23,12,0
4,11,6,0,8,21,10,0
8,15,8,1,8,18,13,1
0,0,5,1,5,19,7,0
7,12,8,1,8,19,10,1
0,0,6,1,0,18,12,0
5,11,7,1,8,18,7,2
7,12,7,1,8,20,8,1
6,14,6,1,6,24,9,1
6,11,6,1,10,20,12,1
5,13,5,1,7,20,12,2
7,12,8,1,8,19,12,1
7,13,8,1,8,18,12,1
6,10,6,1,6,20,9,1
8,13,8,1,10,20,16,1
8,13,8,1,9,19,11,1
6,12,6,1,6,20,12,1
2,10,5,1,11,19,13,0
4,10,6,1,10,19,9,0
8,13,8,1,8,18,9,1
3,12,6,1,8,23,11,0
5,10,6,1,9,21,12,0
8,13,8,1,9,19,13,1
6,14,6,1,6,18,12,1
5,12,6,1,10,19,10,1
7,12,8,1,8,25,12,1
4,13,6,1,10,19,9,2
8,15,8,1,8,19,13,1
7,11,8,1,13,24,12,1
5,14,6,1,9,18,8,1
6,12,6,1,7,19,16,1
7,12,8,1,12,18,12,1
4,11,5,1,7,27,10,2
5,11,6,1,13,19,15,1
6,11,6,1,6,18,12,0
0,0,6,0,6,34,12,0
2,11,5,1,15,18,7,2
3,12,5,1,7,18,7,2
8,14,8,1,8,18,9,2
0,0,6,0,0,20,8,0
3,13,5,1,11,19,7,2
1,10,6,1,15,21,7,2
5,14,5,1,6,26,10,1
4,10,5,1,5,20,9,1
6,16,6,1,7,18,16,1
7,12,8,1,11,24,12,1
4,11,6,1,10,19,10,1
3,10,6,1,9,19,8,2
2,10,6,1,14,18,7,2
5,12,6,1,9,20,12,1
0,0,6,1,6,25,11,0
6,15,6,1,8,21,15,1
6,11,7,1,9,19,11,2
6,13,6,1,6,18,13,1
4,13,5,1,7,18,7,1
8,14,8,1,9,19,13,1
5,16,5,1,5,19,10,1
4,11,6,0,9,18,10,0
0,0,8,1,0,19,12,0
6,11,6,1,8,20,12,1
8,11,8,1,10,19,12,1
5,13,6,1,7,22,12,1
6,13,6,1,6,18,11,1
2,11,6,1,15,23,7,0
6,15,6,1,6,18,11,1
4,12,6,1,6,18,15,2
0,0,5,0,12,50,10,0
6,10,6,1,6,22,13,1
5,14,5,0,6,20,12,0
0,0,6,0,0,44,13,0
8,12,8,1,9,18,13,1
5,14,5,1,6,43,9,1
0,0,5,0,9,70,10,0
0,0,6,1,0,48,15,0
4,13,6,1,10,21,12,2
0,0,7,0,7,35,16,0
2,13,5,1,6,18,13,0
6,13,6,1,6,45,7,1
5,10,6,1,9,20,15,2
6,11,6,1,11,22,12,1
1,17,5,1,11,39,13,0
3,13,5,1,8,49,8,0
0,0,5,1,5,32,7,0
4,13,5,1,11,37,16,0
0,0,5,0,6,50,12,0
0,0,5,1,5,45,7,0
0,0,5,0,5,45,15,0
5,11,5,1,6,33,7,1
7,13,8,1,8,18,10,1
5,14,5,1,5,43,9,1
0,0,5,1,5,29,7,0
0,0,6,0,6,53,12,0
5,17,5,1,5,37,9,2
5,12,6,1,7,18,13,2
6,12,6,1,9,23,11,2
0,0,6,0,0,33,10,0
0,0,5,0,9,41,10,0
0,0,5,1,5,35,11,0
5,11,6,1,8,18,13,2
3,12,6,0,15,18,13,0
5,11,6,1,11,21,13,1
5,11,6,1,8,21,13,1
4,12,5,1,7,34,9,1
0,0,6,1,6,34,16,0
5,12,6,1,8,21,11,1
3,11,6,1,15,30,7,0
0,0,6,1,0,18,12,0
6,12,6,1,6,19,8,1
6,12,7,1,9,18,12,0
3,10,5,1,9,27,12,0
6,15,6,1,6,52,9,1
0,0,6,0,8,29,15,0
2,11,6,0,13,22,8,0
0,0,5,1,5,30,7,0
8,13,8,1,9,18,16,1
3,13,5,1,5,21,9,1
6,14,6,1,10,20,12,1
8,13,8,1,8,21,9,1
0,0,5,0,6,32,10,0
6,12,6,1,7,20,12,1
3,12,6,0,7,18,8,0
4,13,6,1,9,20,12,1
5,11,5,1,11,46,9,1
1,10,5,1,10,40,11,2
5,11,5,1,7,20,12,2
4,12,5,1,6,20,10,2
6,14,6,1,9,21,10,1
6,15,6,1,8,20,11,1
0,0,6,1,0,18,12,0
7,13,8,1,12,19,15,2
6,12,6,1,7,18,9,1
6,15,6,1,8,19,12,1
6,14,7,1,7,20,11,2
6,13,6,1,6,18,16,1
6,15,6,1,6,18,8,1
4,10,6,1,10,20,15,0
8,14,8,1,8,18,15,1
6,13,8,1,9,18,9,2
6,12,6,1,6,20,12,1
6,12,6,1,7,19,11,1
5,14,6,1,6,18,12,1
7,14,8,1,8,18,10,1
5,14,5,1,5,18,7,0
6,13,6,1,6,19,11,1
0,0,7,0,9,36,15,0
6,12,6,1,7,19,11,1
5,13,6,1,6,18,8,1
6,12,6,1,6,18,12,1
6,14,6,1,6,18,8,1
8,12,8,1,8,18,11,1
6,13,6,1,7,19,8,1
4,12,6,1,10,18,10,2
4,12,6,0,10,22,8,2
0,0,6,0,0,18,11,0
5,12,5,1,6,19,8,1
6,14,6,1,6,18,11,1
7,14,7,1,7,19,11,1
3,10,5,1,8,20,11,2
6,12,6,1,6,18,16,1
4,13,6,0,11,23,11,2
0,0,6,1,0,20,8,0
6,11,6,1,9,20,12,2
0,0,6,0,0,22,12,0
6,13,7,1,9,18,11,1
8,13,8,1,9,18,11,1
8,14,8,1,9,18,11,1
7,15,7,1,7,18,11,1
3,12,5,1,11,21,11,2
6,11,6,1,8,20,10,2
6,12,6,1,6,18,12,1
7,13,8,0,10,20,11,2
6,12,6,1,6,25,7,1
4,11,5,1,8,18,13,1
6,13,6,1,7,20,12,1
6,11,6,1,6,21,11,1
5,14,6,1,9,18,8,1
6,13,7,1,9,18,11,0
6,15,6,1,6,18,11,1
8,14,8,1,8,18,9,1
0,0,6,1,0,19,15,0
6,11,6,1,10,20,13,0
0,0,5,1,10,47,7,0
2,12,5,1,7,21,10,2
0,0,5,1,5,46,7,0
2,11,5,1,10,18,8,2
4,10,5,1,9,19,8,0
2,13,7,1,13,23,8,2
0,0,5,0,5,22,12,0
5,12,5,1,7,19,9,1
0,0,5,0,5,19,8,0
4,14,5,0,11,22,8,2
0,0,5,0,6,29,9,0
6,14,7,1,7,18,7,1
5,10,6,1,8,18,9,1
5,12,5,1,11,34,12,1
4,10,5,1,9,19,11,1
5,12,5,1,8,18,10,2
7,12,8,1,11,19,15,1
4,11,6,1,9,22,12,2
6,14,6,1,6,23,10,1
7,13,8,1,8,34,12,1
0,0,5,0,8,18,9,2
