Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (enrolled),Tuition fees up to date,Curricular units 2nd sem (evaluations),Age at enrollment,Unemployment rate,Target
0,0,6,1,9,21,16,0
6,13,6,1,6,22,10,0
0,0,6,1,6,28,11,0
0,0,5,1,5,23,7,0
2,10,6,1,13,20,7,0
3,13,5,1,9,18,13,0
0,0,5,0,5,28,9,0
2,14,6,0,9,25,13,0
8,15,8,1,9,18,12,1
0,0,5,1,0,29,10,0
0,0,5,1,7,29,12,0
5,12,6,1,7,20,16,1
6,12,6,1,7,20,8,1
2,13,5,1,9,33,9,0
6,11,8,1,11,21,16,2
4,14,6,1,8,18,8,1
8,12,8,1,12,19,15,1
5,11,6,1,7,21,15,0
0,0,7,1,7,25,15,0
5,11,5,1,5,19,9,1
5,13,6,1,7,19,12,1
0,0,6,0,10,31,16,0
7,12,8,1,12,19,10,1
6,13,6,1,6,21,7,1
8,15,8,1,8,19,13,1
4,11,6,1,13,20,10,1
6,14,6,1,6,18,10,1
7,14,8,1,8,21,12,1
0,0,5,0,10,26,9,0
1,13,5,0,10,21,15,0
6,13,6,1,9,18,7,1
4,11,6,1,10,21,7,2
6,14,6,1,6,19,13,1
2,14,5,1,11,19,10,0
5,11,6,1,11,19,10,1
8,12,8,1,8,27,9,1
6,12,7,1,7,18,7,1
0,0,5,1,5,20,12,0
8,12,8,1,8,19,12,1
0,0,6,1,6,20,16,0
6,11,6,1,11,19,12,1
3,10,6,1,15,20,9,2
6,13,6,1,6,18,7,1
5,13,5,1,5,20,10,1
2,11,5,0,9,38,12,0
6,12,6,1,6,42,8,1
0,0,8,1,0,32,13,0
6,13,6,1,6,22,12,1
0,0,5,1,5,28,7,0
0,0,6,1,0,37,9,0
6,15,6,1,9,43,15,1
6,12,6,1,6,41,13,1
5,10,6,1,9,29,10,1
6,11,6,1,7,35,10,1
4,12,6,1,8,18,9,0
2,10,7,0,9,39,16,0
3,11,5,1,7,37,12,2
6,13,7,1,7,26,7,1
0,0,5,1,12,32,10,0
0,0,6,1,6,28,8,2
0,0,6,1,0,19,7,0
2,12,5,1,9,18,7,2
7,13,7,1,7,19,12,1
2,11,5,1,9,31,7,0
7,11,8,1,11,34,10,2
1,10,7,1,10,28,13,0
4,12,6,1,8,18,7,2
3,11,6,0,9,31,9,0
5,12,6,1,8,19,12,1
6,12,6,1,8,19,16,1
0,0,5,1,10,31,9,2
0,0,6,1,0,34,15,0
8,16,8,1,8,18,12,1
6,12,6,1,6,18,11,1
5,12,5,1,11,19,16,1
0,0,4,0,8,22,7,0
0,0,5,1,0,61,15,0
5,11,5,1,5,30,7,1
0,0,5,0,11,45,12,0
6,12,6,1,6,20,12,1
0,0,8,1,0,19,9,0
1,11,5,1,5,19,7,0
6,11,6,1,7,19,16,1
5,13,6,1,7,19,12,1
5,12,5,1,6,19,16,1
0,0,4,0,4,19,7,0
2,11,5,0,8,28,7,0
5,13,5,1,5,18,7,1
2,12,5,1,9,18,7,2
5,10,6,1,12,18,12,1
5,12,6,1,9,21,8,1
0,0,5,0,6,28,12,0
0,0,6,1,6,58,13,0
0,0,5,0,5,49,7,0
2,10,5,1,9,24,15,2
4,14,5,1,5,25,7,1
0,0,5,1,5,33,7,0
0,0,5,0,5,33,9,0
4,15,4,1,5,40,13,1
5,11,5,1,8,48,16,1
3,10,5,0,8,18,8,2
6,12,7,1,7,24,7,1
4,13,5,1,7,23,10,1
5,14,5,0,7,39,10,0
5,11,5,1,6,41,8,2
6,12,6,1,6,18,12,1
4,10,5,1,10,34,13,2
1,16,5,1,8,19,7,0
7,13,8,1,8,19,12,1
6,15,6,1,12,28,16,1
0,0,6,1,6,18,7,0
2,10,6,1,12,19,11,0
8,16,8,1,11,18,16,1
5,14,6,1,8,18,12,1
6,11,6,1,7,18,11,0
5,14,6,1,10,31,12,1
6,14,6,1,6,33,12,1
6,13,7,1,8,20,12,2
5,13,6,1,8,19,11,1
6,13,6,1,6,18,7,0
0,0,6,1,0,18,15,0
0,0,6,0,0,18,8,0
3,11,5,1,5,19,12,1
6,17,6,1,7,18,11,0
5,12,5,1,5,18,12,1
7,15,8,1,8,18,12,1
7,14,8,1,8,18,12,1
6,13,6,1,7,18,11,1
6,13,8,1,13,18,15,1
7,12,8,1,10,20,16,1
5,12,5,1,8,18,12,1
0,0,6,1,0,18,11,0
5,11,5,1,6,20,8,1
6,12,6,1,6,20,12,1
0,0,5,1,5,19,11,0
0,0,6,0,0,18,12,0
6,12,6,1,7,19,15,1
8,12,8,1,8,20,9,1
6,11,8,1,12,21,10,1
6,13,6,1,7,20,11,1
7,12,7,1,8,19,8,1
2,10,5,0,7,21,7,0
5,11,5,1,7,18,7,1
5,12,6,1,7,19,8,1
8,14,8,1,8,18,13,1
7,13,8,1,8,19,12,1
3,10,5,1,12,18,13,1
4,10,6,1,8,18,15,2
6,14,6,1,7,18,13,1
5,15,5,1,8,18,10,1
0,0,6,1,6,18,12,0
6,14,6,1,7,18,11,2
0,0,6,1,0,18,11,0
6,13,6,1,6,18,10,1
5,10,6,1,10,18,15,2
5,10,6,1,7,18,16,1
7,12,8,1,8,20,10,1
7,12,8,1,11,18,15,1
5,12,6,1,12,19,13,1
0,0,5,1,6,24,12,0
6,13,6,1,7,19,10,0
7,14,8,1,8,19,10,1
7,12,8,1,9,20,11,1
8,16,8,1,8,18,12,1
8,15,8,1,8,19,13,1
8,15,8,1,8,18,13,0
8,15,8,1,8,19,13,1
7,14,8,1,9,19,12,1
7,12,8,1,9,19,11,0
6,14,7,1,7,19,7,1
4,11,5,0,5,25,9,0
7,12,8,1,8,20,12,1
0,0,6,1,0,20,15,0
6,11,6,1,7,27,11,1
8,14,8,1,8,18,9,1
4,11,6,1,10,18,9,2
6,13,7,1,7,19,7,1
5,11,5,1,7,18,15,1
8,14,8,1,8,20,13,1
5,12,6,1,10,18,12,1
8,14,8,1,8,19,9,1
5,12,6,1,9,19,9,2
5,14,5,1,8,18,7,1
6,13,6,1,7,18,9,1
6,12,6,1,6,18,11,1
1,14,6,1,11,19,7,0
7,13,8,1,9,19,12,1
6,12,6,1,6,20,11,1
5,11,6,1,8,19,12,1
4,12,6,1,7,21,8,2
7,14,7,1,7,19,11,1
6,12,6,1,8,18,13,1
0,0,6,1,0,19,15,0
6,13,6,1,9,19,8,1
6,13,6,1,6,20,16,1
6,13,7,1,9,18,13,2
5,12,5,1,6,18,7,1
0,0,6,1,0,18,8,0
6,11,6,1,6,18,7,1
6,11,6,1,8,20,15,0
8,12,8,1,10,19,12,1
3,10,6,0,7,21,15,0
0,0,6,0,9,20,10,0
4,11,6,1,8,18,9,1
6,12,6,1,6,20,10,1
8,14,8,1,8,19,9,1
5,13,5,1,9,22,9,0
0,0,2,0,2,22,9,0
4,10,6,1,8,18,10,2
5,11,6,1,8,19,7,1
7,14,8,1,8,20,9,0
8,12,8,1,9,18,15,1
5,12,5,1,9,20,7,1
6,12,6,1,7,19,12,1
7,13,8,1,10,19,12,1
6,12,7,1,8,20,11,2
3,11,5,1,11,25,15,2
7,14,8,1,10,19,15,1
8,13,8,1,8,19,9,1
0,0,6,0,0,19,10,0
7,13,8,1,8,20,13,1
6,12,7,1,7,20,7,1
5,16,6,1,10,24,9,2
5,13,5,1,6,20,7,1
5,13,6,1,11,19,15,1
6,13,6,1,6,19,16,1
4,13,5,1,5,21,9,1
5,11,6,0,8,19,10,1
5,13,5,1,6,18,12,1
7,12,8,1,8,18,12,1
8,13,8,1,8,18,9,1
3,10,5,1,8,19,12,2
8,15,8,1,8,18,13,1
0,0,6,0,0,20,15,0
6,13,6,1,8,18,10,1
3,11,6,1,11,21,10,0
7,13,8,1,8,18,10,1
6,14,6,1,9,20,15,1
7,12,8,1,13,18,15,1
3,11,5,1,8,19,12,2
4,13,5,1,5,20,7,0
6,12,6,1,7,18,12,1
4,12,5,1,9,20,10,2
5,12,6,1,9,22,7,1
6,12,7,1,11,18,13,2
7,13,8,1,8,18,12,1
6,11,6,1,8,18,8,1
3,14,5,1,11,19,10,2
5,13,7,1,7,19,16,2
7,13,8,1,11,19,10,1
4,12,5,1,10,19,8,2
1,10,6,0,15,19,10,0
6,12,6,1,6,21,8,1
5,11,6,1,9,20,15,1
5,13,5,1,7,20,11,1
5,11,5,1,6,41,7,1
7,12,7,1,8,32,12,2
7,14,8,1,8,18,10,1
6,11,6,1,6,35,15,1
0,0,7,0,7,32,16,0
5,13,6,1,11,23,7,1
6,13,6,1,7,20,15,0
4,11,5,1,6,21,9,1
5,13,5,1,5,19,12,1
7,15,8,1,8,18,10,1
1,12,5,1,7,18,10,0
5,12,5,1,6,24,12,2
4,12,6,1,11,22,12,1
3,11,6,1,7,18,16,0
5,12,6,1,11,18,9,1
5,14,6,1,6,21,16,1
2,10,7,1,14,38,16,0
8,12,8,1,11,19,12,1
3,12,7,1,14,36,16,0
4,10,5,1,10,18,12,1
6,11,8,1,12,19,12,1
6,11,8,1,11,19,11,2
6,12,6,1,8,18,16,1
1,11,5,1,10,20,7,0
4,11,6,1,10,18,13,1
6,13,6,1,7,18,11,1
0,0,5,1,9,25,10,0
7,12,8,1,9,19,10,1
7,12,7,1,8,18,13,2
0,0,6,0,0,23,10,0
3,10,6,1,13,21,12,0
6,15,6,0,6,18,10,1
6,16,6,1,8,23,12,1
6,14,6,1,7,18,11,1
6,12,6,1,7,32,9,1
2,14,5,0,14,29,10,0
4,11,6,1,8,20,8,1
0,0,6,0,12,28,9,0
4,13,5,1,11,27,10,1
6,12,6,1,12,37,16,2
0,0,6,0,0,28,12,0
4,10,6,0,13,43,8,0
0,0,8,0,8,32,10,0
5,11,6,1,13,20,15,2
8,13,8,1,9,35,9,1
4,11,5,1,7,21,7,1
7,12,7,1,7,18,12,2
8,16,8,1,9,18,16,1
4,12,6,1,11,18,16,1
7,12,8,1,8,19,10,1
5,12,5,1,6,18,13,1
8,15,8,1,9,18,11,1
0,0,5,0,7,31,16,0
6,12,6,1,7,33,9,1
8,13,8,1,8,19,9,1
6,15,6,1,6,18,12,1
5,11,5,1,8,23,7,1
6,12,6,1,6,20,9,1
8,13,8,1,8,18,9,1
5,12,6,1,10,22,12,1
6,11,6,1,7,20,9,1
6,12,6,1,6,19,16,1
7,13,8,1,8,19,10,1
3,11,5,1,9,26,10,0
8,13,8,1,9,18,16,1
0,0,5,1,5,18,9,0
6,13,6,1,10,20,16,1
0,0,6,1,6,19,15,0
3,11,5,0,9,31,9,0
1,10,5,1,11,25,13,2
1,10,5,0,6,31,12,0
1,13,7,1,7,34,16,0
6,12,6,1,9,18,11,1
0,0,6,1,0,19,12,0
1,11,6,1,11,21,8,2
5,11,6,0,10,18,9,0
6,16,6,1,6,20,11,1
6,12,6,1,7,20,15,1
5,12,6,1,11,18,11,1
6,11,6,1,7,19,7,1
4,14,5,1,7,19,12,2
1,10,6,1,16,30,11,0
6,12,6,1,7,19,11,1
8,13,8,1,8,19,12,1
7,13,8,1,8,19,12,1
6,15,6,1,8,19,12,1
6,11,6,1,7,20,7,1
0,0,6,1,0,19,12,0
6,16,6,1,10,34,9,1
7,11,8,1,8,18,12,1
8,13,8,1,8,18,9,1
5,14,6,1,10,20,11,1
7,12,8,1,8,20,10,1
0,0,6,1,9,28,10,0
6,12,6,1,10,18,15,2
4,12,5,1,6,19,16,1
4,12,5,1,6,34,7,0
0,0,6,1,0,35,8,0
5,12,5,1,8,32,12,1
6,13,6,1,6,19,11,1
5,12,6,1,7,18,11,1
5,11,5,0,8,35,9,0
4,11,6,1,10,24,12,2
6,12,6,1,8,20,13,1
6,13,6,1,7,18,16,1
7,13,8,1,8,20,10,1
0,0,6,0,0,18,9,0
5,18,5,1,8,18,12,1
4,11,5,1,7,20,9,1
6,12,7,1,9,19,12,0
5,13,6,1,6,20,7,2
6,11,6,1,8,19,10,1
4,11,6,1,11,20,7,1
7,13,8,1,9,22,11,1
6,13,6,1,10,18,11,2
7,14,8,1,8,19,12,1
2,10,6,1,12,22,13,0
5,17,5,1,5,20,8,1
0,0,6,0,0,34,12,0
0,0,5,1,5,24,16,0
0,0,5,1,5,26,7,0
5,12,7,1,9,35,12,0
5,11,5,1,7,22,7,1
3,12,6,1,11,26,9,2
0,0,5,1,5,19,8,0
0,0,6,0,0,19,8,0
6,15,6,1,6,19,13,1
6,12,6,1,7,18,12,1
5,12,5,1,6,18,12,1
7,13,8,1,8,18,12,1
7,11,8,1,8,19,10,1
6,13,6,1,8,18,15,1
6,12,6,1,6,24,10,1
8,13,8,1,9,18,16,0
3,12,6,1,10,18,13,2
7,14,8,1,10,20,12,1
4,11,5,1,8,19,9,2
3,10,6,0,15,18,7,0
3,11,6,1,14,19,10,0
5,11,6,1,7,19,10,1
6,12,6,1,6,18,10,1
6,14,7,1,8,20,11,2
8,13,8,1,8,18,9,1
6,12,7,1,8,19,11,1
2,12,5,1,11,18,13,2
6,14,7,1,7,18,7,1
2,12,6,1,13,21,11,2
0,0,6,0,13,19,7,0
8,14,8,1,9,21,12,1
8,13,8,1,8,18,12,1
8,13,8,1,9,18,11,1
4,12,6,1,9,20,16,2
8,13,8,1,9,18,16,1
5,10,6,1,8,19,7,2
6,11,7,1,9,27,12,2
4,12,5,0,5,19,11,2
5,11,6,1,13,21,15,0
7,11,8,1,8,19,10,1
4,12,6,1,10,18,10,1
4,15,5,1,8,20,12,1
5,13,6,1,9,18,9,1
6,11,6,0,8,18,12,0
6,13,6,1,9,18,8,1
6,13,6,1,6,18,16,1
7,12,7,1,7,19,12,2
6,12,6,1,11,24,8,1
7,15,8,1,8,18,12,1
6,11,6,1,6,19,12,1
0,0,6,1,0,19,10,0
5,11,6,1,9,20,11,2
5,12,6,1,11,20,13,2
0,0,6,1,12,26,7,0
0,0,5,0,5,36,15,0
0,0,5,0,0,27,15,0
0,0,5,1,5,18,8,0
7,13,8,1,8,18,10,1
0,0,6,1,0,28,12,0
6,13,7,1,7,19,7,1
0,0,5,0,5,26,9,0
7,12,8,1,8,19,12,1
4,11,5,1,10,21,12,0
6,12,6,1,7,23,8,1
6,14,6,1,6,29,11,1
7,15,8,1,8,20,12,1
6,11,6,1,7,18,15,1
5,12,6,1,8,19,9,1
4,12,5,1,7,18,15,2
0,0,6,0,7,21,9,0
0,0,6,1,7,22,11,0
5,12,7,1,11,21,8,1
0,0,8,0,0,32,16,0
6,13,7,1,7,18,7,1
2,16,6,1,6,24,15,1
0,0,5,1,5,22,12,0
0,0,4,0,6,22,10,0
5,11,5,1,6,19,13,1
0,0,5,1,5,19,7,0
3,10,5,1,15,21,10,2
8,13,8,1,8,18,9,1
5,12,6,1,8,18,9,1
6,13,6,1,7,19,13,1
6,12,6,1,6,19,8,1
6,11,6,1,6,18,12,1
6,13,6,1,10,20,16,2
7,12,7,1,8,31,12,1
7,14,7,1,7,19,16,1
5,12,6,1,9,18,8,1
5,13,5,1,5,21,7,1
8,15,8,1,9,18,13,1
0,0,5,0,5,25,15,0
0,0,6,1,8,21,11,0
7,12,8,1,8,19,10,1
5,10,6,1,7,19,10,2
1,11,6,1,14,22,7,0
5,11,5,1,8,19,12,1
0,0,6,1,6,58,11,0
6,12,6,1,6,19,10,1
3,11,6,1,11,19,9,2
8,14,8,1,8,18,13,1
4,12,5,1,8,20,7,1
0,0,6,0,0,18,12,0
5,13,6,1,8,18,8,1
5,11,5,1,5,18,11,1
5,12,6,1,10,24,11,0
5,11,6,1,7,18,10,0
3,12,5,1,11,19,9,2
6,11,6,1,6,19,8,1
6,11,6,1,6,18,7,1
5,13,5,1,5,18,12,2
2,13,6,1,16,19,10,2
4,12,6,1,13,21,12,2
6,12,6,1,7,21,8,1
7,12,8,1,11,18,10,1
1,10,6,1,11,20,10,0
5,11,6,1,8,18,7,2
6,15,6,1,9,19,12,1
6,12,8,1,11,18,11,2
2,11,5,1,11,19,8,2
6,12,6,1,6,35,15,1
6,14,6,1,6,19,12,1
5,12,5,1,10,18,10,1
4,14,5,1,5,19,7,1
6,14,6,1,6,18,11,1
0,0,6,0,10,26,16,0
5,13,5,1,6,34,9,1
0,0,5,0,5,18,12,0
3,12,5,1,9,18,8,0
3,13,6,1,12,20,12,0
5,12,6,1,10,18,11,0
4,12,5,1,7,20,7,2
0,0,5,1,5,19,11,0
4,13,5,1,9,20,8,2
6,12,8,1,12,18,11,2
1,10,6,1,12,19,16,2
0,0,5,0,0,20,9,0
4,12,6,1,16,24,15,0
6,12,6,1,11,20,16,1
4,12,5,1,5,19,9,2
1,10,5,1,11,23,8,0
5,10,6,1,9,20,7,2
0,0,5,1,6,20,10,0
4,14,5,1,7,21,7,2
6,14,6,1,6,18,11,1
6,13,6,1,6,18,11,1
4,11,5,1,9,18,13,2
5,11,6,1,11,20,15,2
6,12,6,1,8,18,16,1
0,0,6,1,0,19,9,0
2,12,5,1,8,20,10,2
5,12,5,1,9,19,9,1
2,11,5,1,9,33,12,0
0,0,6,0,13,25,15,0
0,0,6,1,8,20,12,0
6,11,6,1,6,39,10,1
6,14,6,1,7,21,8,1
4,13,6,1,7,19,16,1
6,10,7,1,8,26,7,1
5,11,6,1,11,19,15,1
5,12,6,1,10,25,15,2
0,0,6,1,6,24,16,0
5,14,5,1,9,20,7,1
6,13,6,1,7,29,13,1
6,11,6,1,8,20,16,1
2,10,6,1,12,20,13,0
5,13,6,1,8,24,11,1
0,0,7,1,7,24,16,0
5,14,5,1,7,23,11,1
8,14,8,1,8,20,15,1
5,13,6,1,8,19,15,1
6,12,6,1,10,28,11,2
5,12,6,1,9,20,13,1
6,13,6,1,7,18,8,1
0,0,6,1,0,20,10,0
5,13,5,1,6,33,10,1
5,10,7,1,9,35,12,2
3,12,6,0,12,19,9,0
4,10,5,1,10,31,15,2
0,0,8,1,0,39,12,0
0,0,6,0,0,22,12,0
4,12,5,1,8,47,9,2
6,14,6,1,6,19,12,1
0,0,8,1,0,19,15,0
0,0,8,0,0,39,12,0
0,0,5,0,5,24,12,0
0,0,5,1,5,27,12,0
5,15,5,1,5,29,11,1
4,11,5,1,5,21,9,0
7,12,8,1,9,19,12,1
4,12,6,0,10,19,15,0
3,12,5,1,10,28,12,1
4,13,6,0,10,21,13,1
7,11,8,0,11,23,12,0
3,13,6,1,13,39,15,2
6,13,7,1,7,18,7,1
4,11,6,1,7,59,11,1
3,16,5,1,10,30,13,2
5,13,5,1,5,18,12,1
0,0,7,1,14,27,11,0
6,12,6,1,6,18,9,1
3,11,6,0,14,20,10,0
0,0,5,0,5,32,12,0
4,10,5,1,10,19,9,0
0,0,6,1,0,41,16,0
0,0,5,1,10,38,10,0
0,0,6,1,9,35,8,0
3,12,6,1,16,27,7,0
6,12,6,1,6,19,7,1
5,11,6,0,6,18,11,2
0,0,5,0,5,39,7,0
0,0,5,0,10,37,10,0
0,0,8,0,8,37,12,0
5,13,5,1,8,18,9,1
6,14,6,1,7,30,10,1
8,14,8,1,8,21,11,1
0,0,5,1,0,20,9,0
0,0,5,1,5,18,7,2
8,13,8,1,8,18,9,1
4,12,7,1,7,20,8,2
4,14,6,1,10,21,12,2
5,12,5,1,8,22,11,1
2,11,6,0,11,20,12,2
4,14,6,1,8,20,13,2
6,12,6,1,7,19,12,1
8,15,8,1,9,18,13,1
5,11,5,1,6,21,11,1
2,11,7,1,11,19,8,2
0,0,6,1,0,37,13,0
0,0,6,0,10,38,16,0
0,0,5,0,5,55,7,0
4,11,6,0,11,28,13,0
4,13,6,1,9,46,12,0
4,13,5,1,7,28,7,2
3,12,5,0,8,18,7,0
6,14,6,1,6,21,12,1
4,11,6,1,11,18,7,2
1,11,5,1,10,34,13,0
5,11,6,1,8,21,10,0
6,13,6,1,7,18,15,1
4,12,5,1,8,18,9,2
3,10,5,1,10,21,12,2
1,12,6,1,11,19,10,0
6,12,6,1,6,22,7,1
0,0,6,1,8,23,15,0
2,10,5,1,12,18,10,2
4,11,5,1,5,19,12,2
4,11,5,1,6,19,7,2
6,12,8,1,12,22,16,2
6,16,6,1,7,18,13,1
5,11,6,1,7,18,9,0
3,11,6,1,6,19,16,0
4,14,6,1,11,21,15,2
3,10,6,1,11,18,9,2
5,13,6,1,11,19,12,1
0,0,6,0,7,27,8,0
6,13,6,1,6,20,12,1
8,12,8,1,9,18,9,1
5,13,6,1,7,18,12,2
6,12,6,1,7,18,8,1
2,12,5,1,11,18,9,0
5,12,5,1,7,18,9,2
8,12,8,1,12,18,16,1
0,0,5,0,5,37,9,0
6,11,6,1,6,36,10,1
2,11,6,1,15,26,15,0
4,14,5,1,8,19,7,1
5,11,6,1,8,24,15,0
6,13,6,1,6,19,11,0
5,14,6,1,10,19,11,1
5,13,5,1,5,21,10,1
4,11,7,0,14,50,12,0
4,11,7,1,15,47,12,0
0,0,5,0,5,48,15,0
4,12,5,0,5,20,7,0
0,0,5,1,5,24,16,0
4,11,5,1,8,53,9,1
0,0,4,0,4,42,13,0
5,14,5,1,5,52,7,1
5,11,5,1,9,49,15,1
6,13,6,1,7,18,16,1
7,11,8,1,10,21,12,1
0,0,5,1,5,26,9,0
8,12,8,1,9,19,12,1
6,14,6,1,7,18,9,1
8,14,8,1,9,18,12,1
6,11,6,1,8,20,10,1
1,11,6,1,11,20,10,0
8,14,8,1,8,18,13,1
7,12,8,1,15,18,15,0
7,14,8,1,8,19,10,1
7,14,8,1,8,19,12,2
7,14,8,1,8,18,10,1
5,14,5,1,6,27,11,2
8,15,8,1,8,20,12,1
0,0,6,1,6,20,12,0
5,12,5,1,7,20,9,1
5,13,5,1,6,19,16,1
2,10,5,1,9,20,7,2
6,15,6,1,6,18,13,1
8,15,8,1,8,18,15,1
8,15,8,1,8,18,13,1
4,11,5,1,6,20,9,1
5,15,6,1,7,19,11,2
6,12,6,1,6,20,10,1
8,13,8,1,8,18,9,1
4,11,5,1,10,25,13,2
6,14,6,1,9,19,15,1
4,12,6,0,10,21,16,0
6,12,7,1,7,18,7,1
0,0,6,0,13,18,10,0
0,0,7,1,0,19,11,0
5,12,5,1,6,35,8,1
5,13,5,1,6,23,7,1
2,14,5,1,9,19,7,2
3,12,6,1,10,19,7,2
5,11,5,1,6,20,9,0
4,12,5,1,5,21,7,0
5,13,6,1,8,18,10,1
6,15,6,1,6,22,9,1
5,12,5,1,10,21,10,1
0,0,5,0,5,38,13,0
0,0,5,1,0,24,7,0
0,0,6,0,0,19,12,0
8,14,8,1,9,19,16,1
4,12,5,1,8,19,16,2
0,0,5,1,0,31,10,0
6,13,6,1,7,19,8,1
6,12,6,1,6,22,7,1
0,0,5,1,5,25,7,0
0,0,8,1,9,18,16,0
0,0,8,1,8,30,9,0
8,15,8,1,8,18,9,1
6,14,6,1,6,18,12,1
0,0,6,1,0,18,7,0
6,11,6,1,7,18,10,1
6,13,6,1,6,25,15,1
3,11,5,1,7,18,7,2
4,12,5,1,6,19,12,2
4,13,7,1,11,25,15,0
6,12,7,1,7,19,7,1
8,13,8,1,8,20,9,1
5,11,6,0,7,33,12,0
6,12,6,1,10,18,12,1
8,13,8,1,8,19,9,1
6,13,8,1,14,20,15,1
1,10,8,1,16,33,12,2
2,14,5,1,8,24,7,0
0,0,5,1,7,24,16,0
5,12,5,1,8,18,10,1
5,11,6,1,9,18,16,1
5,12,6,1,11,18,10,1
4,12,5,1,9,38,9,0
4,10,6,1,9,20,16,2
0,0,6,0,0,18,12,0
5,12,5,1,5,20,12,1
3,12,5,0,11,20,10,0
2,12,5,1,5,40,16,0
3,11,5,0,9,21,10,0
8,13,8,1,10,18,9,1
7,13,8,1,9,18,13,2
6,13,6,1,7,27,11,1
0,0,6,0,8,38,10,0
3,12,6,1,13,18,13,0
2,12,6,1,12,19,7,2
