Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (enrolled),Tuition fees up to date,Curricular units 2nd sem (evaluations),Age at enrollment,Unemployment rate,Target
5,13,6,1,7,18,15,0
2,10,6,0,11,19,16,0
0,0,6,0,6,44,12,0
4,11,6,0,11,24,15,0
0,0,6,0,8,27,15,0
0,0,6,0,0,27,13,0
4,12,6,1,9,20,15,2
2,10,5,1,12,20,12,2
0,0,5,0,5,20,8,0
5,14,5,0,5,18,8,2
0,0,6,0,7,22,15,0
6,15,6,1,8,19,16,1
7,12,8,1,9,18,11,1
6,11,6,1,7,20,8,1
6,16,6,1,6,36,10,1
4,11,5,1,8,19,12,1
0,0,5,1,0,26,15,0
0,0,8,1,0,27,12,0
5,12,6,1,8,23,7,2
4,10,5,1,9,24,16,2
6,14,6,1,7,19,16,1
4,12,6,1,11,25,15,2
3,10,6,1,12,19,9,2
0,0,4,0,8,20,10,0
5,12,5,1,7,35,9,0
4,11,5,1,7,23,11,1
8,14,8,1,8,19,11,1
5,12,6,1,9,21,10,2
6,11,6,1,6,21,11,1
7,15,8,1,8,27,10,0
2,12,5,1,13,19,8,2
8,15,8,1,9,28,16,0
4,11,5,1,12,25,9,2
0,0,6,1,0,42,15,0
4,13,5,1,6,27,7,1
0,0,6,1,10,23,7,0
6,11,6,1,8,18,8,1
7,13,8,1,8,26,10,1
0,0,5,1,0,18,8,0
2,13,5,1,11,29,12,0
0,0,6,1,7,22,16,0
6,12,7,1,8,21,13,2
7,13,8,1,8,19,10,1
6,12,6,1,6,18,10,1
3,11,5,1,9,18,9,0
3,13,6,0,16,40,11,0
0,0,6,0,16,20,10,0
5,12,8,1,15,18,10,0
5,12,5,1,5,18,12,1
4,11,6,1,11,22,10,0
0,0,5,0,5,38,8,0
0,0,5,1,5,33,12,0
3,11,5,1,12,19,11,2
0,0,6,1,0,18,15,0
4,12,5,0,8,18,8,2
5,13,5,1,5,27,11,1
6,12,6,1,6,26,7,1
8,13,8,1,9,19,12,1
5,12,7,1,10,44,11,0
5,11,5,1,9,19,13,1
0,0,6,1,6,20,9,0
6,13,6,1,11,24,16,2
6,12,6,1,6,25,9,1
0,0,6,0,0,19,8,0
8,14,8,1,9,18,11,0
3,11,6,0,12,19,13,2
5,11,7,1,9,19,12,2
0,0,5,1,13,19,12,2
6,12,6,1,6,20,12,1
6,14,6,1,7,18,12,1
6,14,6,1,6,18,12,1
2,10,5,1,12,21,9,2
0,0,7,0,7,28,13,0
5,12,5,1,9,18,13,2
4,11,6,1,10,18,12,0
5,14,6,1,11,18,11,1
5,11,5,1,10,18,16,1
3,12,5,0,10,19,10,0
8,14,8,1,9,19,15,1
6,11,6,1,9,20,8,1
5,12,7,1,8,39,7,2
8,13,8,1,8,19,9,1
2,15,6,1,6,24,15,1
0,0,6,1,0,18,9,0
0,0,5,1,9,19,10,0
3,11,5,1,8,18,9,1
5,11,5,1,10,20,16,2
2,13,6,1,14,19,11,0
4,12,6,1,10,19,13,0
2,10,5,1,7,41,9,0
8,12,8,1,9,19,12,1
4,11,6,1,9,19,12,2
0,0,8,0,0,23,12,0
5,14,5,1,16,18,12,0
5,11,5,1,13,19,16,1
6,14,6,1,7,20,12,1
2,10,5,0,8,35,7,0
0,0,6,0,9,34,10,0
6,12,6,0,8,19,10,1
5,12,6,0,8,22,13,1
6,12,6,1,8,20,11,1
2,12,5,1,6,27,12,2
0,0,5,1,5,30,7,0
1,11,5,1,8,34,10,2
0,0,6,0,16,20,10,0
6,13,6,1,6,18,7,1
0,0,5,1,6,26,7,0
5,12,5,1,5,26,15,1
0,0,5,0,9,26,10,0
0,0,5,0,6,31,12,0
3,12,6,1,10,19,7,1
0,0,5,0,5,23,7,0
0,0,7,1,15,20,11,0
0,0,5,1,10,29,7,0
4,12,6,1,8,20,9,1
6,13,7,1,7,24,7,1
0,0,7,1,13,37,11,0
0,0,8,1,0,18,7,0
7,13,8,1,8,18,12,1
3,10,6,1,11,35,13,0
0,0,6,1,0,19,8,0
3,11,7,1,14,48,11,2
6,12,7,1,7,19,7,1
0,0,4,0,4,51,12,0
5,14,6,1,10,18,11,1
8,13,8,1,8,18,9,1
0,0,5,1,9,18,10,0
3,11,6,1,6,19,7,2
4,11,6,0,11,18,11,0
6,12,6,1,8,20,12,1
6,14,6,1,9,18,13,1
6,13,7,1,7,18,7,1
6,11,6,1,7,19,11,1
8,15,8,1,8,18,12,1
7,12,8,1,8,18,10,1
5,11,6,1,8,19,15,2
6,14,7,1,7,19,7,1
5,14,6,1,8,18,13,1
8,12,8,1,8,20,9,1
8,15,8,1,8,18,16,1
0,0,6,0,12,18,7,0
5,12,6,1,7,18,7,1
6,13,7,1,7,18,7,1
6,12,7,1,7,18,7,1
8,12,8,1,12,20,16,1
5,12,6,1,7,22,12,1
5,14,6,1,8,20,13,2
2,13,6,1,12,20,13,2
6,14,6,1,6,18,9,1
3,10,6,1,14,18,9,2
4,12,5,1,6,18,9,1
0,0,6,1,6,18,15,0
5,12,5,1,8,19,10,1
6,12,6,1,6,18,13,1
5,13,6,0,7,18,8,2
8,15,8,1,9,18,11,1
8,13,8,1,8,18,15,1
6,12,6,1,7,19,12,1
4,11,6,1,9,18,8,1
8,13,8,1,8,25,9,1
7,12,8,1,11,19,12,1
8,13,8,1,9,18,11,1
4,12,6,1,9,19,13,1
6,13,7,1,7,18,7,1
5,11,6,1,7,21,11,1
6,12,6,1,6,18,8,1
6,13,6,1,6,18,8,1
6,14,6,1,6,20,11,1
5,11,6,1,8,19,12,1
6,13,6,1,7,19,13,0
8,14,8,1,8,30,12,1
8,14,8,1,8,18,9,1
3,14,5,1,8,18,12,1
6,13,6,1,6,18,9,1
7,12,8,1,9,20,15,1
0,0,6,1,0,19,11,0
0,0,6,1,12,19,10,0
6,12,6,1,6,18,8,1
5,12,8,1,14,17,10,2
6,13,7,1,9,19,12,1
2,11,6,1,8,18,13,2
7,14,8,1,8,25,10,1
6,11,6,1,10,19,11,0
6,12,6,1,6,19,9,1
0,0,8,1,8,20,9,2
5,13,6,1,6,20,12,1
8,13,8,1,8,20,13,1
3,10,5,1,10,19,12,1
3,13,5,1,8,20,9,1
5,11,5,1,8,18,9,2
3,10,6,1,10,18,12,2
5,15,6,1,9,18,13,1
6,12,6,1,8,20,8,1
5,13,6,1,10,19,10,0
5,12,5,1,6,21,12,1
8,13,8,1,9,18,12,1
7,12,7,1,7,19,11,2
3,13,6,1,9,20,13,2
6,14,6,1,6,18,12,1
5,13,5,1,5,18,12,1
6,11,6,1,9,18,8,1
6,13,7,1,7,18,7,1
8,14,8,1,8,18,9,1
4,11,6,1,10,20,12,1
8,14,8,1,8,32,9,1
0,0,5,1,5,34,9,2
8,12,8,1,9,23,11,1
5,12,6,1,11,18,8,2
5,12,6,1,10,18,10,1
4,11,6,1,6,25,8,2
5,11,5,1,7,21,11,1
0,0,6,1,12,20,7,0
6,11,6,1,6,18,7,1
6,13,6,1,15,18,12,1
6,13,6,1,6,18,13,1
0,0,6,1,12,24,9,0
3,10,6,0,16,24,8,0
0,0,6,1,7,18,15,0
5,12,6,1,8,28,8,1
4,12,6,1,9,18,10,0
0,0,5,0,10,24,9,0
5,13,5,1,6,19,7,1
6,14,6,1,6,44,10,1
6,12,6,1,9,18,15,1
0,0,6,1,0,22,7,0
6,12,7,1,7,18,11,1
5,12,5,1,5,44,15,1
5,10,6,1,7,33,7,0
0,0,5,0,10,32,10,0
0,0,6,0,0,35,15,0
6,13,6,1,7,20,11,1
5,12,6,1,7,24,9,1
8,14,8,1,9,19,16,1
5,13,6,1,6,21,12,2
6,13,6,1,6,19,12,1
0,0,6,0,8,27,15,0
0,0,6,0,0,30,12,0
6,12,6,1,8,19,8,1
4,11,5,1,9,34,9,2
7,12,8,1,10,18,13,1
6,12,7,1,7,19,7,1
6,13,6,1,6,18,12,1
8,14,8,1,8,19,11,1
0,0,5,1,0,51,12,0
6,14,6,1,7,49,10,1
1,10,5,1,7,22,7,0
4,11,5,1,6,20,9,1
6,11,6,1,6,18,10,1
2,11,6,0,10,20,10,0
6,13,6,1,6,18,7,1
6,12,6,1,6,19,12,1
7,12,8,1,9,20,13,1
0,0,8,1,0,19,13,0
4,11,7,1,11,20,11,0
8,15,8,1,8,18,13,1
7,13,8,1,8,19,12,1
5,10,6,1,12,18,15,1
6,12,6,1,7,18,15,1
6,13,7,1,8,19,12,2
8,14,8,1,8,18,16,1
6,13,6,1,6,19,11,1
4,11,5,1,7,21,9,1
8,13,8,1,9,19,16,1
8,13,8,1,8,19,10,1
7,13,8,1,8,18,12,1
5,11,6,1,14,19,16,1
5,13,5,1,5,21,8,1
6,15,6,1,6,19,15,1
6,12,6,1,6,18,8,1
6,12,6,1,6,17,15,1
5,11,6,1,8,19,15,2
3,12,5,0,9,23,9,0
6,11,6,1,10,19,8,1
6,12,7,1,7,18,7,1
5,13,6,1,8,20,15,1
5,13,5,1,5,19,10,1
6,13,6,1,6,18,12,1
6,15,6,1,6,19,13,1
6,12,6,1,6,19,10,1
8,14,8,1,9,18,9,1
7,13,8,1,9,18,13,1
6,14,7,1,7,19,7,1
7,12,8,1,12,19,12,1
6,14,7,1,7,19,7,1
8,14,8,1,8,21,15,1
6,14,6,1,6,18,13,1
6,13,6,1,6,19,11,1
0,0,4,0,4,18,12,0
0,0,6,1,0,30,10,0
5,15,6,1,8,18,13,0
6,12,7,1,7,20,7,1
5,12,5,0,5,25,9,0
6,14,7,1,7,18,7,1
3,11,5,1,10,21,9,2
7,15,8,1,8,18,12,1
6,15,7,1,7,18,7,1
5,15,6,0,8,29,12,0
0,0,8,1,0,26,13,0
6,12,6,1,6,21,12,1
8,13,8,1,9,19,9,1
5,11,6,1,8,19,16,0
5,11,6,1,8,21,15,2
4,12,6,1,15,20,16,1
8,14,8,1,8,18,15,1
3,10,6,0,15,20,7,0
6,14,6,1,7,20,16,1
2,13,7,1,7,18,16,2
4,12,6,1,7,18,9,2
5,13,6,1,9,18,9,1
3,11,5,1,12,18,10,2
3,15,5,1,8,19,12,2
6,14,6,1,8,19,12,1
8,16,8,1,8,18,12,1
6,11,6,1,7,20,11,1
4,11,6,1,9,18,10,0
0,0,6,1,0,21,8,0
6,12,6,1,7,19,12,1
8,12,8,1,8,18,9,0
5,14,6,1,8,18,7,1
0,0,6,0,8,21,15,0
4,12,5,1,8,19,13,1
5,11,5,1,8,19,9,1
0,0,6,1,7,19,16,0
1,10,6,1,11,19,10,0
8,13,8,1,9,20,16,0
6,12,8,0,9,18,9,0
6,13,6,1,8,18,10,1
4,12,6,1,16,18,11,2
6,12,6,1,8,19,16,1
5,12,5,1,8,20,7,1
8,13,8,1,12,19,16,1
7,13,8,1,8,18,12,1
0,0,6,1,6,25,15,0
6,12,6,0,6,18,7,1
6,12,6,1,7,19,8,1
8,14,8,1,8,19,15,1
2,11,5,0,13,20,9,0
7,12,8,1,9,18,13,2
5,11,5,1,12,20,10,1
6,13,6,1,7,21,11,1
6,13,6,1,6,42,10,1
5,14,6,0,12,18,8,2
6,12,6,1,6,19,15,1
4,12,6,1,11,18,8,1
5,14,5,1,5,21,10,1
6,14,6,1,7,20,16,1
7,13,7,1,7,20,11,1
8,13,8,1,9,19,15,1
6,15,6,1,7,19,8,1
8,15,8,1,10,19,15,1
5,14,6,1,9,21,9,1
3,10,6,1,14,18,7,0
7,14,8,1,8,20,10,1
4,10,5,0,6,18,7,0
0,0,5,1,5,20,8,0
7,13,8,1,11,23,12,1
6,15,6,1,6,18,12,1
7,14,8,1,8,18,10,1
5,11,5,1,8,20,11,1
8,12,8,1,9,18,16,1
6,17,6,1,6,20,16,1
7,13,8,1,8,19,12,1
6,12,6,1,9,21,13,1
3,11,6,1,8,33,11,1
0,0,5,0,5,24,7,0
6,14,6,1,6,18,15,1
8,14,8,1,11,18,16,1
6,12,6,1,7,19,9,1
6,10,6,1,9,18,12,1
8,13,8,1,11,19,16,1
2,10,6,1,12,19,7,2
3,12,6,1,9,19,9,1
5,11,6,1,12,18,13,2
8,13,8,1,8,18,9,1
3,12,6,1,9,19,9,1
6,12,6,1,6,20,12,0
0,0,8,1,0,18,16,0
4,16,6,0,10,35,8,0
3,11,5,1,6,18,16,2
6,12,6,1,8,19,15,2
4,12,5,1,11,20,10,2
2,10,5,1,7,19,12,0
0,0,7,1,13,24,11,0
0,0,6,0,7,29,12,0
4,12,6,1,11,19,15,1
5,11,6,1,6,18,16,1
0,0,5,0,0,18,11,0
3,13,5,1,9,22,16,2
3,10,5,1,9,22,10,2
0,0,6,0,0,18,11,0
7,13,8,1,8,18,12,1
6,13,6,1,6,19,9,1
3,12,5,1,8,19,10,2
3,13,6,1,10,19,16,0
6,15,6,1,6,21,12,1
4,13,7,1,10,18,8,1
3,11,5,1,9,19,10,0
6,13,6,1,6,25,11,1
6,14,6,1,12,22,12,1
7,12,8,1,8,24,12,1
7,13,8,1,9,19,13,1
3,11,5,1,11,18,13,2
7,14,8,1,8,19,10,1
4,10,6,1,15,19,7,0
5,13,6,1,6,19,12,1
0,0,6,1,8,23,15,0
4,14,6,1,13,47,12,0
4,10,6,1,8,19,16,1
0,0,5,1,9,28,15,0
3,11,6,1,11,20,7,0
4,12,6,1,9,18,15,2
2,13,6,1,12,19,10,2
0,0,6,0,7,24,16,0
3,11,6,1,12,24,16,2
0,0,6,0,6,25,8,2
5,12,6,1,8,28,13,1
3,11,5,1,7,37,7,2
2,10,5,1,12,19,13,2
8,13,8,1,8,18,11,1
1,10,6,1,15,48,7,0
6,13,6,1,7,21,8,1
6,12,7,1,10,19,15,2
0,0,8,1,8,21,9,2
0,0,5,0,7,23,13,0
4,13,5,1,6,18,10,1
0,0,5,0,6,49,10,0
0,0,5,0,0,31,12,0
5,14,6,1,13,54,16,0
2,11,6,1,14,20,15,2
3,12,6,1,10,28,12,0
6,13,6,1,6,41,12,1
6,12,6,1,9,19,11,2
2,11,5,1,8,22,15,0
0,0,6,1,6,34,15,0
5,11,6,1,10,42,7,2
4,14,6,0,11,21,11,2
0,0,5,1,5,19,12,0
3,10,7,1,10,18,16,0
0,0,5,1,7,59,16,0
0,0,5,0,5,33,7,0
5,12,6,1,7,23,9,1
5,11,5,1,8,44,13,0
0,0,6,1,0,37,9,0
2,10,5,0,8,22,7,0
6,14,6,1,8,49,12,1
4,12,6,1,6,23,11,1
3,11,6,1,10,19,7,2
0,0,6,1,6,47,16,0
4,10,6,1,15,21,15,2
5,10,6,0,8,21,8,0
4,11,6,1,12,20,13,2
0,0,5,0,9,49,10,0
5,13,5,1,5,40,15,1
6,14,6,1,8,22,11,1
2,11,5,1,7,19,15,2
0,0,5,1,7,31,13,0
5,11,6,1,11,19,7,1
3,11,5,1,10,22,9,0
6,13,6,1,8,19,15,1
6,13,6,1,7,19,11,1
1,10,5,1,7,22,16,0
5,11,6,1,8,22,10,1
6,11,6,1,9,19,9,1
0,0,6,0,0,26,16,0
5,10,6,1,10,18,16,2
2,11,5,1,11,22,15,2
5,14,5,1,9,19,12,2
0,0,5,1,5,20,11,0
6,12,6,1,6,22,7,2
0,0,5,0,5,18,12,0
0,0,4,1,4,39,10,0
0,0,8,1,8,18,10,0
5,14,5,1,5,18,8,1
6,14,6,1,6,19,13,1
8,12,8,1,8,18,12,1
0,0,5,1,5,18,7,0
5,14,5,1,5,22,10,1
6,12,6,1,6,19,12,1
5,15,5,1,5,18,12,0
2,16,5,0,9,31,16,0
0,0,5,1,5,28,12,0
0,0,6,1,0,19,15,0
6,14,6,1,8,20,16,1
0,0,6,1,7,50,8,0
4,16,6,1,11,38,13,2
1,13,5,1,5,31,9,0
7,14,7,1,7,27,7,2
6,10,6,1,10,21,12,1
0,0,5,1,9,34,8,0
1,10,5,1,7,19,7,2
3,10,5,0,5,40,9,0
0,0,6,0,6,46,15,0
0,0,5,1,10,37,7,0
0,0,6,1,10,31,16,0
5,12,6,1,15,34,12,1
6,14,6,1,6,18,12,1
6,11,6,1,7,19,11,1
0,0,6,1,6,25,12,0
3,13,6,1,8,20,11,0
5,13,5,1,8,20,11,2
0,0,6,0,0,43,15,0
3,14,5,1,7,18,7,2
5,13,5,1,5,23,7,1
8,11,9,1,12,19,12,1
4,13,6,1,8,19,13,2
5,15,5,1,7,20,12,1
0,0,6,1,0,30,12,0
6,11,6,1,6,44,12,1
7,13,8,1,8,19,12,1
5,14,5,1,5,18,7,1
5,11,6,1,6,21,12,1
0,0,6,1,0,18,7,0
6,14,6,1,7,18,11,1
4,11,6,1,11,21,16,0
6,14,6,1,10,31,16,1
2,10,6,1,10,21,9,0
1,11,5,1,11,24,8,2
0,0,5,1,10,27,9,0
5,12,5,1,6,20,12,1
2,11,5,1,6,22,10,2
4,12,6,1,10,19,15,2
6,14,6,1,6,19,8,1
6,13,6,1,8,18,12,1
5,13,6,0,6,29,11,2
3,13,5,1,10,29,10,0
5,11,6,1,12,20,16,2
6,12,6,1,10,20,11,2
3,12,5,1,9,24,9,2
5,11,6,0,6,21,12,0
4,14,5,1,7,25,12,1
0,0,5,0,5,32,9,0
6,12,6,1,8,18,12,1
6,12,6,1,10,19,16,1
6,12,6,1,6,19,12,1
0,0,5,1,11,20,13,2
6,11,6,1,8,21,12,1
3,10,6,1,12,22,9,2
2,12,5,1,10,18,11,0
0,0,5,1,5,28,13,0
3,12,5,1,11,18,8,2
0,0,6,1,12,26,10,0
5,11,5,1,7,18,13,1
3,12,6,1,14,22,15,2
0,0,6,1,10,25,16,0
5,12,6,1,13,19,8,2
6,14,6,1,7,19,13,1
8,11,8,1,10,19,16,1
5,12,5,1,6,52,7,1
3,11,5,0,7,20,9,0
7,15,8,1,8,19,10,1
4,11,7,0,12,21,12,0
6,14,6,0,6,35,9,1
0,0,8,0,8,47,15,0
0,0,5,1,0,22,8,0
3,11,5,1,8,41,7,0
0,0,5,1,6,26,10,0
0,0,6,0,12,51,10,0
0,0,5,1,10,22,9,0
4,11,6,1,6,25,12,0
5,13,6,1,9,24,8,2
0,0,6,1,0,47,16,0
0,0,5,1,5,41,7,0
5,12,6,1,11,43,13,1
0,0,4,1,8,29,16,0
0,0,2,1,2,30,7,0
0,0,5,0,0,26,12,0
0,0,5,0,5,27,15,0
5,11,5,1,7,36,9,1
5,12,6,1,10,18,10,1
5,16,5,1,5,24,8,1
6,12,6,1,7,18,10,0
3,13,5,1,10,18,7,2
3,11,5,1,11,21,9,2
5,12,5,1,10,21,9,1
3,12,6,1,14,22,11,0
0,0,5,1,5,35,9,0
0,0,5,0,0,23,8,0
1,10,5,1,5,35,9,0
0,0,6,1,12,20,7,0
4,12,7,1,16,34,16,2
5,16,5,1,6,44,8,0
0,0,5,0,7,28,12,0
0,0,6,0,16,44,15,0
4,12,5,1,8,19,12,1
0,0,5,1,5,18,9,0
6,15,6,1,10,20,16,1
6,13,6,1,6,55,11,1
1,13,5,1,12,27,7,2
0,0,5,1,0,19,12,0
5,13,5,1,5,18,12,1
0,0,6,1,7,43,15,0
0,0,6,1,0,18,13,0
0,0,6,1,6,20,8,0
4,11,5,0,8,29,10,0
0,0,6,1,11,44,13,0
1,16,5,1,8,18,10,2
6,12,6,1,13,20,15,2
0,0,5,1,9,36,10,0
0,0,5,0,5,29,12,0
3,10,6,1,10,18,10,0
0,0,6,0,0,24,13,0
6,15,6,1,7,20,15,1
0,0,5,0,5,45,16,0
5,12,6,1,10,23,7,2
7,11,8,1,11,18,12,1
3,11,5,1,7,23,9,0
5,14,5,1,6,33,10,1
5,14,5,1,5,45,15,1
0,0,6,1,0,42,12,0
0,0,5,1,0,20,12,0
2,12,5,1,12,20,9,2
6,12,6,1,6,20,8,1
4,10,6,1,13,20,9,2
2,13,5,1,13,19,8,2
5,12,6,1,11,31,13,1
6,14,6,1,6,19,16,1
6,13,6,1,6,28,7,1
6,12,6,1,6,43,9,1
1,15,6,1,10,40,16,0
6,13,6,1,6,46,11,1
7,13,8,1,9,34,12,1
0,0,6,1,0,19,10,0
7,13,8,1,8,18,12,1
8,11,8,1,10,18,12,1
0,0,6,0,0,18,10,0
5,12,7,1,10,18,12,2
8,13,8,1,8,19,11,1
6,12,6,1,12,18,12,1
5,12,6,1,8,19,8,0
1,10,5,1,14,20,8,2
4,12,6,1,9,22,9,1
7,12,8,1,8,18,12,1
6,13,6,1,6,18,13,1
6,13,6,1,6,18,8,1
6,13,6,1,6,18,12,1
6,11,6,1,6,18,8,1
7,13,8,1,9,19,11,1
0,0,6,1,0,20,15,0
0,0,6,1,7,19,15,0
3,11,6,1,12,18,15,1
6,12,6,1,6,18,12,0
8,13,8,1,8,18,11,1
6,14,6,1,7,18,12,1
4,12,5,1,12,18,10,1
6,12,6,1,6,18,16,1
6,13,6,1,10,20,16,1
6,11,6,1,7,19,9,1
6,13,6,1,8,18,8,2
6,13,6,1,8,19,12,1
4,10,6,1,7,19,12,2
5,15,5,1,7,19,9,2
6,15,6,1,6,19,12,1
5,13,6,1,9,20,8,1
5,12,5,1,5,18,10,1
0,0,5,1,5,33,12,0
0,0,6,1,6,19,13,0
8,14,8,1,8,18,15,1
0,0,6,1,0,19,8,0
4,11,6,1,14,19,15,2
6,14,6,1,7,18,12,1
6,11,6,1,6,20,10,1
8,13,8,1,9,19,9,1
6,14,6,1,6,18,9,1
0,0,6,1,6,19,13,0
6,14,6,1,6,20,12,2
6,11,6,1,6,19,12,1
0,0,5,1,5,33,7,0
3,11,5,1,9,18,8,2
2,10,5,1,11,18,7,2
5,11,5,1,6,19,11,1
2,10,5,1,9,19,13,2
6,13,6,1,6,18,11,0
5,12,6,1,8,18,7,1
8,13,8,1,8,18,9,1
0,0,7,1,9,37,16,0
0,0,5,1,10,20,9,2
6,13,6,1,6,20,10,1
6,13,6,1,7,21,11,1
8,14,8,1,9,18,12,1
5,11,6,1,9,26,15,2
5,12,5,1,8,41,7,2
6,14,6,1,6,18,16,1
8,14,8,1,9,18,9,1
8,16,8,1,8,31,11,1
6,14,6,1,6,23,12,1
6,14,7,1,7,19,7,1
6,13,6,1,6,20,11,1
3,11,6,1,14,32,16,0
1,10,6,1,11,24,10,0
6,13,7,1,7,18,7,1
6,12,6,1,6,18,10,1
6,13,6,1,6,18,10,1
0,0,6,0,8,27,15,0
5,15,5,1,5,18,7,1
4,11,5,1,9,26,12,2
6,13,6,1,7,19,7,1
6,12,6,1,7,19,7,1
3,12,5,1,9,21,9,2
1,11,5,1,14,24,12,2
2,10,6,1,11,20,12,0
5,12,6,1,7,18,10,2
0,0,6,1,6,30,11,0
6,13,7,0,8,22,11,2
8,11,8,1,8,26,13,0
1,12,5,1,9,23,9,2
6,12,6,1,6,18,16,1
5,12,6,1,8,21,12,0
4,12,5,1,8,21,9,2
5,12,6,1,7,18,7,2
5,12,6,1,8,19,12,0
3,11,6,1,11,22,7,2
6,12,6,1,7,19,12,1
0,0,5,0,8,19,9,0
1,13,6,1,11,19,9,0
5,12,5,1,8,27,9,1
5,12,5,1,10,22,12,1
6,13,6,1,7,18,15,0
4,12,6,1,8,20,9,1
8,13,8,1,9,18,13,1
4,12,6,1,7,20,9,1
5,15,5,1,6,20,12,1
0,0,5,1,8,25,16,0
3,13,5,1,9,18,8,0
4,13,6,0,11,18,8,0
0,0,6,1,13,18,9,0
5,12,6,1,7,19,12,1
5,12,6,1,7,19,10,0
6,11,6,1,6,20,12,1
6,12,6,1,6,20,12,1
1,12,5,1,7,24,10,0
8,14,8,1,9,18,16,1
7,12,7,1,7,19,7,2
4,11,5,1,10,18,15,2
5,14,5,1,7,28,10,2
1,12,5,1,12,28,11,0
0,0,6,1,12,20,7,0
8,12,8,1,9,22,9,1
7,12,8,1,8,19,10,1
4,13,6,1,8,20,12,2
