Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (enrolled),Tuition fees up to date,Curricular units 2nd sem (evaluations),Age at enrollment,Unemployment rate,Course,Target
6,12,6,1,6,35,15,8014,1
6,14,6,1,6,19,12,9670,1
5,12,5,1,10,18,10,9085,1
4,14,5,1,5,19,7,9670,1
6,14,6,1,6,18,11,9254,1
0,0,6,0,10,26,16,9003,0
5,13,5,1,6,34,9,9991,1
0,0,5,0,5,18,12,9254,0
3,12,5,1,9,18,8,9119,0
3,13,6,1,12,20,12,9003,0
5,12,6,1,10,18,11,9130,0
4,12,5,1,7,20,7,9119,2
0,0,5,1,5,19,11,9147,0
4,13,5,1,9,20,8,9147,2
6,12,8,1,12,18,11,9500,2
1,10,6,1,12,19,16,9670,2
0,0,5,0,0,20,9,9147,0
4,12,6,1,16,24,15,9670,0
6,12,6,1,11,20,16,9003,1
4,12,5,1,5,19,9,9670,2
1,10,5,1,11,23,8,9119,0
5,10,6,1,9,20,7,9254,2
0,0,5,1,6,20,10,9119,0
4,14,5,1,7,21,7,9119,2
6,14,6,1,6,18,11,9773,1
6,13,6,1,6,18,11,9254,1
4,11,5,1,9,18,13,9147,2
5,11,6,1,11,20,15,9003,2
6,12,6,1,8,18,16,9773,1
0,0,6,1,0,19,9,9773,0
2,12,5,1,8,20,10,9119,2
5,12,5,1,9,19,9,9130,1
2,11,5,1,9,33,12,9991,0
0,0,6,0,13,25,15,9003,0
0,0,6,1,8,20,12,9085,0
6,11,6,1,6,39,10,9773,1
6,14,6,1,7,21,8,9670,1
4,13,6,1,7,19,16,9254,1
6,10,7,1,8,26,7,9500,1
5,11,6,1,11,19,15,9238,1
5,12,6,1,10,25,15,9670,2
0,0,6,1,6,24,16,8014,0
5,14,5,1,9,20,7,9119,1
6,13,6,1,7,29,13,9003,1
6,11,6,1,8,20,16,9773,1
2,10,6,1,12,20,13,9130,0
5,13,6,1,8,24,11,9670,1
0,0,7,1,7,24,16,9500,0
5,14,5,1,7,23,11,9119,1
8,14,8,1,8,20,15,9556,1
5,13,6,1,8,19,15,9670,1
6,12,6,1,10,28,11,9003,2
5,12,6,1,9,20,13,9003,1
6,13,6,1,7,18,8,9070,1
0,0,6,1,0,20,10,9670,0
5,13,5,1,6,33,10,9991,1
5,10,7,1,9,35,12,9500,2
3,12,6,0,12,19,9,9773,0
4,10,5,1,10,31,15,9991,2
0,0,8,1,0,39,12,9500,0
0,0,6,0,0,22,12,9254,0
4,12,5,1,8,47,9,9991,2
6,14,6,1,6,19,12,9254,1
0,0,8,1,0,19,15,9500,0
0,0,8,0,0,39,12,9500,0
0,0,5,0,5,24,12,9147,0
0,0,5,1,5,27,12,9991,0
5,15,5,1,5,29,11,9991,1
4,11,5,1,5,21,9,9670,0
7,12,8,1,9,19,12,9500,1
4,12,6,0,10,19,15,9773,0
3,12,5,1,10,28,12,9119,1
4,13,6,0,10,21,13,9254,1
7,11,8,0,11,23,12,9500,0
3,13,6,1,13,39,15,9003,2
6,13,7,1,7,18,7,9500,1
4,11,6,1,7,59,11,9773,1
3,16,5,1,10,30,13,9119,2
5,13,5,1,5,18,12,9085,1
0,0,7,1,14,27,11,9500,0
6,12,6,1,6,18,9,9238,1
3,11,6,0,14,20,10,9853,0
0,0,5,0,5,32,12,9119,0
4,10,5,1,10,19,9,9147,0
0,0,6,1,0,41,16,9853,0
0,0,5,1,10,38,10,8014,0
0,0,6,1,9,35,8,9130,0
3,12,6,1,16,27,7,8014,0
6,12,6,1,6,19,7,9070,1
5,11,6,0,6,18,11,9773,2
0,0,5,0,5,39,7,9991,0
0,0,5,0,10,37,10,9254,0
0,0,8,0,8,37,12,9500,0
5,13,5,1,8,18,9,9085,1
6,14,6,1,7,30,10,8014,1
8,14,8,1,8,21,11,9500,1
0,0,5,1,0,20,9,9119,0
0,0,5,1,5,18,7,9147,2
8,13,8,1,8,18,9,9500,1
4,12,7,1,7,20,8,33,2
4,14,6,1,10,21,12,9130,2
5,12,5,1,8,22,11,9147,1
2,11,6,0,11,20,12,9130,2
4,14,6,1,8,20,13,9085,2
6,12,6,1,7,19,12,9238,1
8,15,8,1,9,18,13,9500,1
5,11,5,1,6,21,11,9147,1
2,11,7,1,11,19,8,9556,2
0,0,6,1,0,37,13,9130,0
0,0,6,0,10,38,16,9003,0
0,0,5,0,5,55,7,9991,0
4,11,6,0,11,28,13,9003,0
4,13,6,1,9,46,12,9670,0
4,13,5,1,7,28,7,9991,2
3,12,5,0,8,18,7,9085,0
6,14,6,1,6,21,12,9773,1
4,11,6,1,11,18,7,9070,2
1,11,5,1,10,34,13,9991,0
5,11,6,1,8,21,10,9853,0
6,13,6,1,7,18,15,9773,1
4,12,5,1,8,18,9,9147,2
3,10,5,1,10,21,12,9119,2
1,12,6,1,11,19,10,9254,0
6,12,6,1,6,22,7,8014,1
0,0,6,1,8,23,15,9003,0
2,10,5,1,12,18,10,9147,2
4,11,5,1,5,19,12,9147,2
4,11,5,1,6,19,7,9670,2
6,12,8,1,12,22,16,9500,2
6,16,6,1,7,18,13,9773,1
5,11,6,1,7,18,9,9238,0
3,11,6,1,6,19,16,9773,0
4,14,6,1,11,21,15,9670,2
3,10,6,1,11,18,9,9254,2
5,13,6,1,11,19,12,9003,1
0,0,6,0,7,27,8,9003,0
6,13,6,1,6,20,12,9254,1
8,12,8,1,9,18,9,9500,1
5,13,6,1,7,18,12,9773,2
6,12,6,1,7,18,8,9070,1
2,12,5,1,11,18,9,9147,0
5,12,5,1,7,18,9,9085,2
8,12,8,1,12,18,16,9500,1
0,0,5,0,5,37,9,8014,0
6,11,6,1,6,36,10,8014,1
2,11,6,1,15,26,15,9085,0
4,14,5,1,8,19,7,9085,1
5,11,6,1,8,24,15,8014,0
6,13,6,1,6,19,11,9773,0
5,14,6,1,10,19,11,9670,1
5,13,5,1,5,21,10,9085,1
4,11,7,0,14,50,12,9556,0
4,11,7,1,15,47,12,9556,0
0,0,5,0,5,48,15,9991,0
4,12,5,0,5,20,7,9670,0
0,0,5,1,5,24,16,9119,0
4,11,5,1,8,53,9,9130,1
0,0,4,0,4,42,13,9773,0
5,14,5,1,5,52,7,9991,1
5,11,5,1,9,49,15,9991,1
6,13,6,1,7,18,16,9670,1
7,11,8,1,10,21,12,9500,1
0,0,5,1,5,26,9,9670,0
8,12,8,1,9,19,12,9500,1
6,14,6,1,7,18,9,9070,1
8,14,8,1,9,18,12,9500,1
6,11,6,1,8,20,10,8014,1
1,11,6,1,11,20,10,9254,0
8,14,8,1,8,18,13,9500,1
7,12,8,1,15,18,15,9500,0
7,14,8,1,8,19,10,9500,1
7,14,8,1,8,19,12,9500,2
7,14,8,1,8,18,10,9500,1
5,14,5,1,6,27,11,9991,2
8,15,8,1,8,20,12,9556,1
0,0,6,1,6,20,12,9853,0
5,12,5,1,7,20,9,9085,1
5,13,5,1,6,19,16,9147,1
2,10,5,1,9,20,7,9085,2
6,15,6,1,6,18,13,9085,1
8,15,8,1,8,18,15,9500,1
8,15,8,1,8,18,13,9500,1
4,11,5,1,6,20,9,9085,1
5,15,6,1,7,19,11,9773,2
6,12,6,1,6,20,10,9238,1
8,13,8,1,8,18,9,9500,1
4,11,5,1,10,25,13,9991,2
6,14,6,1,9,19,15,9085,1
4,12,6,0,10,21,16,9130,0
6,12,7,1,7,18,7,9500,1
0,0,6,0,13,18,10,9254,0
0,0,7,1,0,19,11,9556,0
5,12,5,1,6,35,8,9991,1
5,13,5,1,6,23,7,9085,1
2,14,5,1,9,19,7,9119,2
3,12,6,1,10,19,7,9773,2
5,11,5,1,6,20,9,9670,0
4,12,5,1,5,21,7,9670,0
5,13,6,1,8,18,10,9070,1
6,15,6,1,6,22,9,9070,1
5,12,5,1,10,21,10,9085,1
0,0,5,0,5,38,13,9556,0
0,0,5,1,0,24,7,9119,0
0,0,6,0,0,19,12,9070,0
8,14,8,1,9,19,16,9500,1
4,12,5,1,8,19,16,9147,2
0,0,5,1,0,31,10,9119,0
6,13,6,1,7,19,8,9670,1
6,12,6,1,6,22,7,9070,1
0,0,5,1,5,25,7,9085,0
0,0,8,1,9,18,16,9500,0
0,0,8,1,8,30,9,9500,0
8,15,8,1,8,18,9,9500,1
6,14,6,1,6,18,12,9773,1
0,0,6,1,0,18,7,9773,0
6,11,6,1,7,18,10,9238,1
6,13,6,1,6,25,15,9670,1
3,11,5,1,7,18,7,9119,2
4,12,5,1,6,19,12,9147,2
4,13,7,1,11,25,15,9556,0
6,12,7,1,7,19,7,9500,1
8,13,8,1,8,20,9,9500,1
5,11,6,0,7,33,12,9500,0
6,12,6,1,10,18,12,9238,1
8,13,8,1,8,19,9,9500,1
6,13,8,1,14,20,15,9500,1
1,10,8,1,16,33,12,9500,2
2,14,5,1,8,24,7,9119,0
0,0,5,1,7,24,16,9991,0
5,12,5,1,8,18,10,9085,1
5,11,6,1,9,18,16,9254,1
5,12,6,1,11,18,10,9773,1
4,12,5,1,9,38,9,9991,0
4,10,6,1,9,20,16,9130,2
0,0,6,0,0,18,12,9254,0
5,12,5,1,5,20,12,9147,1
3,12,5,0,11,20,10,9130,0
2,12,5,1,5,40,16,9119,0
3,11,5,0,9,21,10,9147,0
8,13,8,1,10,18,9,9500,1
7,13,8,1,9,18,13,9500,2
6,13,6,1,7,27,11,9003,1
0,0,6,0,8,38,10,9070,0
3,12,6,1,13,18,13,9130,0
2,12,6,1,12,19,7,9254,2
5,13,6,1,7,18,15,9130,0
2,10,6,0,11,19,16,9773,0
0,0,6,0,6,44,12,9670,0
4,11,6,0,11,24,15,9130,0
0,0,6,0,8,27,15,9003,0
0,0,6,0,0,27,13,9003,0
4,12,6,1,9,20,15,9070,2
2,10,5,1,12,20,12,9119,2
0,0,5,0,5,20,8,9119,0
5,14,5,0,5,18,8,9119,2
0,0,6,0,7,22,15,9130,0
6,15,6,1,8,19,16,9670,1
7,12,8,1,9,18,11,9500,1
6,11,6,1,7,20,8,9238,1
6,16,6,1,6,36,10,9773,1
4,11,5,1,8,19,12,9147,1
0,0,5,1,0,26,15,9147,0
0,0,8,1,0,27,12,9500,0
5,12,6,1,8,23,7,9853,2
4,10,5,1,9,24,16,9147,2
6,14,6,1,7,19,16,9773,1
4,12,6,1,11,25,15,9003,2
3,10,6,1,12,19,9,9254,2
0,0,4,0,8,20,10,9773,0
5,12,5,1,7,35,9,9991,0
4,11,5,1,7,23,11,9147,1
8,14,8,1,8,19,11,9500,1
5,12,6,1,9,21,10,9670,2
6,11,6,1,6,21,11,9070,1
7,15,8,1,8,27,10,9500,0
2,12,5,1,13,19,8,9147,2
8,15,8,1,9,28,16,9500,0
4,11,5,1,12,25,9,9147,2
0,0,6,1,0,42,15,9238,0
4,13,5,1,6,27,7,9991,1
0,0,6,1,10,23,7,9070,0
6,11,6,1,8,18,8,9254,1
7,13,8,1,8,26,10,9500,1
0,0,5,1,0,18,8,9147,0
2,13,5,1,11,29,12,9991,0
0,0,6,1,7,22,16,9085,0
6,12,7,1,8,21,13,9500,2
7,13,8,1,8,19,10,9500,1
6,12,6,1,6,18,10,9238,1
3,11,5,1,9,18,9,9085,0
3,13,6,0,16,40,11,9003,0
0,0,6,0,16,20,10,9254,0
5,12,8,1,15,18,10,9500,0
5,12,5,1,5,18,12,9147,1
4,11,6,1,11,22,10,9670,0
0,0,5,0,5,38,8,9147,0
0,0,5,1,5,33,12,9991,0
3,11,5,1,12,19,11,9119,2
0,0,6,1,0,18,15,9670,0
4,12,5,0,8,18,8,9119,2
5,13,5,1,5,27,11,9991,1
6,12,6,1,6,26,7,9254,1
8,13,8,1,9,19,12,9500,1
5,12,7,1,10,44,11,9500,0
5,11,5,1,9,19,13,9147,1
0,0,6,1,6,20,9,9070,0
6,13,6,1,11,24,16,9003,2
6,12,6,1,6,25,9,9070,1
0,0,6,0,0,19,8,9773,0
8,14,8,1,9,18,11,9500,0
3,11,6,0,12,19,13,9085,2
5,11,7,1,9,19,12,9500,2
0,0,5,1,13,19,12,9147,2
6,12,6,1,6,20,12,9238,1
6,14,6,1,7,18,12,9254,1
6,14,6,1,6,18,12,9238,1
2,10,5,1,12,21,9,9085,2
0,0,7,0,7,28,13,9500,0
5,12,5,1,9,18,13,9147,2
4,11,6,1,10,18,12,9853,0
5,14,6,1,11,18,11,9238,1
5,11,5,1,10,18,16,9147,1
3,12,5,0,10,19,10,9147,0
8,14,8,1,9,19,15,9500,1
6,11,6,1,9,20,8,9238,1
5,12,7,1,8,39,7,9500,2
8,13,8,1,8,19,9,9500,1
2,15,6,1,6,24,15,9070,1
0,0,6,1,0,18,9,9773,0
0,0,5,1,9,19,10,9130,0
3,11,5,1,8,18,9,9147,1
5,11,5,1,10,20,16,9147,2
2,13,6,1,14,19,11,9130,0
4,12,6,1,10,19,13,9003,0
2,10,5,1,7,41,9,9991,0
8,12,8,1,9,19,12,9500,1
4,11,6,1,9,19,12,9254,2
0,0,8,0,0,23,12,9500,0
5,14,5,1,16,18,12,9119,0
5,11,5,1,13,19,16,9147,1
6,14,6,1,7,20,12,9003,1
2,10,5,0,8,35,7,9085,0
0,0,6,0,9,34,10,9670,0
6,12,6,0,8,19,10,9070,1
5,12,6,0,8,22,13,9238,1
6,12,6,1,8,20,11,9070,1
2,12,5,1,6,27,12,9991,2
0,0,5,1,5,30,7,9119,0
1,11,5,1,8,34,10,9119,2
0,0,6,0,16,20,10,9254,0
6,13,6,1,6,18,7,9070,1
0,0,5,1,6,26,7,9130,0
5,12,5,1,5,26,15,9991,1
0,0,5,0,9,26,10,9147,0
0,0,5,0,6,31,12,9991,0
3,12,6,1,10,19,7,9773,1
0,0,5,0,5,23,7,9670,0
0,0,7,1,15,20,11,9500,0
0,0,5,1,10,29,7,8014,0
4,12,6,1,8,20,9,9773,1
6,13,7,1,7,24,7,9500,1
0,0,7,1,13,37,11,9556,0
0,0,8,1,0,18,7,9500,0
7,13,8,1,8,18,12,9500,1
3,10,6,1,11,35,13,9003,0
0,0,6,1,0,19,8,9254,0
3,11,7,1,14,48,11,9500,2
6,12,7,1,7,19,7,9500,1
0,0,4,0,4,51,12,9773,0
5,14,6,1,10,18,11,9085,1
8,13,8,1,8,18,9,9500,1
0,0,5,1,9,18,10,9130,0
3,11,6,1,6,19,7,9070,2
4,11,6,0,11,18,11,9773,0
6,12,6,1,8,20,12,9773,1
6,14,6,1,9,18,13,9130,1
6,13,7,1,7,18,7,9500,1
6,11,6,1,7,19,11,9773,1
8,15,8,1,8,18,12,9500,1
7,12,8,1,8,18,10,9500,1
5,11,6,1,8,19,15,9853,2
6,14,7,1,7,19,7,9500,1
5,14,6,1,8,18,13,9670,1
8,12,8,1,8,20,9,9500,1
8,15,8,1,8,18,16,9556,1
0,0,6,0,12,18,7,8014,0
5,12,6,1,7,18,7,9853,1
6,13,7,1,7,18,7,9500,1
6,12,7,1,7,18,7,9500,1
8,12,8,1,12,20,16,9500,1
5,12,6,1,7,22,12,9070,1
5,14,6,1,8,20,13,9670,2
2,13,6,1,12,20,13,9085,2
6,14,6,1,6,18,9,9238,1
3,10,6,1,14,18,9,9853,2
4,12,5,1,6,18,9,9147,1
0,0,6,1,6,18,15,9670,0
5,12,5,1,8,19,10,9085,1
6,12,6,1,6,18,13,9773,1
5,13,6,0,7,18,8,9070,2
8,15,8,1,9,18,11,9500,1
8,13,8,1,8,18,15,9500,1
6,12,6,1,7,19,12,9670,1
4,11,6,1,9,18,8,9238,1
8,13,8,1,8,25,9,9500,1
7,12,8,1,11,19,12,9500,1
8,13,8,1,9,18,11,9500,1
4,12,6,1,9,19,13,9130,1
6,13,7,1,7,18,7,9500,1
5,11,6,1,7,21,11,9773,1
6,12,6,1,6,18,8,9254,1
6,13,6,1,6,18,8,9238,1
6,14,6,1,6,20,11,9070,1
5,11,6,1,8,19,12,9070,1
6,13,6,1,7,19,13,9773,0
8,14,8,1,8,30,12,9500,1
8,14,8,1,8,18,9,9500,1
3,14,5,1,8,18,12,9085,1
6,13,6,1,6,18,9,9773,1
7,12,8,1,9,20,15,9500,1
0,0,6,1,0,19,11,9254,0
0,0,6,1,12,19,10,9254,0
6,12,6,1,6,18,8,9254,1
5,12,8,1,14,17,10,9500,2
6,13,7,1,9,19,12,9853,1
2,11,6,1,8,18,13,9238,2
7,14,8,1,8,25,10,9500,1
6,11,6,1,10,19,11,9238,0
6,12,6,1,6,19,9,9238,1
0,0,8,1,8,20,9,9500,2
5,13,6,1,6,20,12,9670,1
8,13,8,1,8,20,13,9500,1
3,10,5,1,10,19,12,9085,1
3,13,5,1,8,20,9,9085,1
5,11,5,1,8,18,9,9085,2
3,10,6,1,10,18,12,9853,2
5,15,6,1,9,18,13,9670,1
6,12,6,1,8,20,8,9085,1
5,13,6,1,10,19,10,9670,0
5,12,5,1,6,21,12,9147,1
8,13,8,1,9,18,12,9500,1
7,12,7,1,7,19,11,9500,2
3,13,6,1,9,20,13,9085,2
6,14,6,1,6,18,12,9670,1
5,13,5,1,5,18,12,9147,1
6,11,6,1,9,18,8,9238,1
6,13,7,1,7,18,7,9500,1
8,14,8,1,8,18,9,9500,1
4,11,6,1,10,20,12,9254,1
8,14,8,1,8,32,9,9500,1
0,0,5,1,5,34,9,9991,2
8,12,8,1,9,23,11,9500,1
5,12,6,1,11,18,8,9670,2
5,12,6,1,10,18,10,8014,1
4,11,6,1,6,25,8,8014,2
5,11,5,1,7,21,11,9147,1
0,0,6,1,12,20,7,9254,0
6,11,6,1,6,18,7,9238,1
6,13,6,1,15,18,12,9085,1
6,13,6,1,6,18,13,9773,1
0,0,6,1,12,24,9,8014,0
3,10,6,0,16,24,8,9254,0
0,0,6,1,7,18,15,9238,0
5,12,6,1,8,28,8,9254,1
4,12,6,1,9,18,10,9853,0
0,0,5,0,10,24,9,9853,0
5,13,5,1,6,19,7,9085,1
6,14,6,1,6,44,10,8014,1
6,12,6,1,9,18,15,9085,1
0,0,6,1,0,22,7,9773,0
6,12,7,1,7,18,11,9853,1
5,12,5,1,5,44,15,9991,1
5,10,6,1,7,33,7,9853,0
0,0,5,0,10,32,10,9853,0
0,0,6,0,0,35,15,9003,0
6,13,6,1,7,20,11,9238,1
5,12,6,1,7,24,9,9254,1
8,14,8,1,9,19,16,9500,1
5,13,6,1,6,21,12,9254,2
6,13,6,1,6,19,12,9773,1
0,0,6,0,8,27,15,9003,0
0,0,6,0,0,30,12,9853,0
6,12,6,1,8,19,8,9070,1
4,11,5,1,9,34,9,9991,2
7,12,8,1,10,18,13,9500,1
6,12,7,1,7,19,7,9500,1
6,13,6,1,6,18,12,9773,1
8,14,8,1,8,19,11,9500,1
0,0,5,1,0,51,12,9991,0
6,14,6,1,7,49,10,9773,1
1,10,5,1,7,22,7,9147,0
4,11,5,1,6,20,9,9670,1
6,11,6,1,6,18,10,9238,1
2,11,6,0,10,20,10,9853,0
6,13,6,1,6,18,7,9254,1
6,12,6,1,6,19,12,9254,1
7,12,8,1,9,20,13,9500,1
0,0,8,1,0,19,13,9500,0
4,11,7,1,11,20,11,9556,0
8,15,8,1,8,18,13,9500,1
7,13,8,1,8,19,12,9500,1
5,10,6,1,12,18,15,9238,1
6,12,6,1,7,18,15,9238,1
6,13,7,1,8,19,12,9500,2
8,14,8,1,8,18,16,9556,1
6,13,6,1,6,19,11,9070,1
4,11,5,1,7,21,9,9147,1
8,13,8,1,9,19,16,9500,1
8,13,8,1,8,19,10,9556,1
7,13,8,1,8,18,12,9500,1
5,11,6,1,14,19,16,9085,1
5,13,5,1,5,21,8,9147,1
6,15,6,1,6,19,15,9853,1
6,12,6,1,6,18,8,9254,1
6,12,6,1,6,17,15,9070,1
5,11,6,1,8,19,15,9853,2
3,12,5,0,9,23,9,9147,0
6,11,6,1,10,19,8,9670,1
6,12,7,1,7,18,7,9500,1
5,13,6,1,8,20,15,9670,1
5,13,5,1,5,19,10,9085,1
6,13,6,1,6,18,12,9238,1
6,15,6,1,6,19,13,9238,1
6,12,6,1,6,19,10,9238,1
8,14,8,1,9,18,9,9500,1
7,13,8,1,9,18,13,9500,1
6,14,7,1,7,19,7,9500,1
7,12,8,1,12,19,12,9500,1
6,14,7,1,7,19,7,9500,1
8,14,8,1,8,21,15,9500,1
6,14,6,1,6,18,13,9773,1
6,13,6,1,6,19,11,9773,1
0,0,4,0,4,18,12,9773,0
0,0,6,1,0,30,10,8014,0
5,15,6,1,8,18,13,9130,0
6,12,7,1,7,20,7,9500,1
5,12,5,0,5,25,9,9670,0
6,14,7,1,7,18,7,9500,1
3,11,5,1,10,21,9,9085,2
7,15,8,1,8,18,12,9500,1
6,15,7,1,7,18,7,9500,1
5,15,6,0,8,29,12,9853,0
0,0,8,1,0,26,13,9500,0
6,12,6,1,6,21,12,9238,1
8,13,8,1,9,19,9,9500,1
5,11,6,1,8,19,16,9254,0
5,11,6,1,8,21,15,9773,2
4,12,6,1,15,20,16,8014,1
8,14,8,1,8,18,15,9500,1
3,10,6,0,15,20,7,9773,0
6,14,6,1,7,20,16,9238,1
2,13,7,1,7,18,16,9500,2
4,12,6,1,7,18,9,9070,2
5,13,6,1,9,18,9,9773,1
3,11,5,1,12,18,10,9085,2
3,15,5,1,8,19,12,9085,2
6,14,6,1,8,19,12,9003,1
8,16,8,1,8,18,12,9556,1
6,11,6,1,7,20,11,9238,1
4,11,6,1,9,18,10,9853,0
0,0,6,1,0,21,8,9670,0
6,12,6,1,7,19,12,9238,1
8,12,8,1,8,18,9,9500,0
5,14,6,1,8,18,7,9773,1
0,0,6,0,8,21,15,9085,0
4,12,5,1,8,19,13,9147,1
5,11,5,1,8,19,9,9147,1
0,0,6,1,7,19,16,9238,0
1,10,6,1,11,19,10,9254,0
8,13,8,1,9,20,16,9500,0
6,12,8,0,9,18,9,9500,0
6,13,6,1,8,18,10,9070,1
4,12,6,1,16,18,11,9085,2
6,12,6,1,8,19,16,9238,1
5,12,5,1,8,20,7,9147,1
8,13,8,1,12,19,16,9500,1
7,13,8,1,8,18,12,9500,1
0,0,6,1,6,25,15,9254,0
6,12,6,0,6,18,7,9070,1
6,12,6,1,7,19,8,9773,1
8,14,8,1,8,19,15,9556,1
2,11,5,0,13,20,9,9147,0
7,12,8,1,9,18,13,9500,2
5,11,5,1,12,20,10,9085,1
6,13,6,1,7,21,11,9238,1
6,13,6,1,6,42,10,8014,1
5,14,6,0,12,18,8,9130,2
6,12,6,1,6,19,15,9070,1
4,12,6,1,11,18,8,9254,1
5,14,5,1,5,21,10,9085,1
6,14,6,1,7,20,16,9238,1
7,13,7,1,7,20,11,9853,1
8,13,8,1,9,19,15,9500,1
6,15,6,1,7,19,8,9070,1
8,15,8,1,10,19,15,9500,1
5,14,6,1,9,21,9,9853,1
3,10,6,1,14,18,7,9254,0
7,14,8,1,8,20,10,9500,1
4,10,5,0,6,18,7,9670,0
0,0,5,1,5,20,8,9238,0
7,13,8,1,11,23,12,9500,1
6,15,6,1,6,18,12,9773,1
7,14,8,1,8,18,10,9500,1
5,11,5,1,8,20,11,9147,1
8,12,8,1,9,18,16,9500,1
6,17,6,1,6,20,16,9670,1
7,13,8,1,8,19,12,9500,1
6,12,6,1,9,21,13,9085,1
3,11,6,1,8,33,11,9070,1
0,0,5,0,5,24,7,9085,0
6,14,6,1,6,18,15,9070,1
8,14,8,1,11,18,16,9500,1
6,12,6,1,7,19,9,9773,1
6,10,6,1,9,18,12,9238,1
8,13,8,1,11,19,16,9500,1
